Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,10,0,200,0,200,4,8000,8,12000,72,5000,2640
2.5,18,12,530,5.7,468,11,21469,7,26605,133,13812,5766
3,24,16,548,4.4,565,13,21923,9,35760,152,13849,7414
1,9,2,215,0.7,197,3,7756,6,12311,69,5096,2979
0.5,7,5,91,1.3,110,2,3705,6,6135,36,2495,1568
2.5,20,12,448,8.2,479,13,20316,8,32864,120,11658,7960
2,29,6,381,8.6,379,9,15587,9,26667,139,9434,5343
2,13,10,364,10,410,7,16842,7,26357,144,11579,5931
0.5,4,3,106,1.8,106,3,4009,8,6344,30,2735,1574
0.5,6,3,98,0.1,99,3,3582,9,5630,35,2690,1558
0.5,3,4,92,0.6,97,2,4100,9,5251,39,2822,1348
1.5,15,7,307,4.6,311,8,10823,5,16828,87,8171,4217
1.5,16,14,277,1.9,319,8,10503,6,17133,119,7968,4395
1,13,2,180,3.7,189,3,7944,8,13062,77,5760,2834
0.5,5,4,102,1.7,101,2,4211,6,5266,32,2477,1338
1.75,17,10,369,3,364,6,13182,9,21934,89,8081,4896
1,10,5,197,0.4,209,3,7669,8,12596,64,5720,2794
1.75,15,17,340,0.1,368,9,13169,7,21209,95,9105,4268
3,22,14,603,6.5,602,14,23205,5,31824,225,15890,8288
0.75,8,6,152,2.7,155,3,6213,9,8559,51,3566,1889
1,9,6,188,3.3,197,4,7022,9,12722,80,5132,2936
0.75,9,5,134,1.3,152,3,5674,5,7913,51,4212,2032
3,37,28,579,4,620,16,23458,7,36111,227,16375,7457
2,12,9,403,7.7,391,6,16458,8,21621,117,10267,5855
0.5,4,2,95,2.2,105,2,3885,9,6309,39,2452,1260
1.75,19,8,361,3.1,336,6,14165,8,18850,99,9202,4262
2.5,22,13,510,9.6,542,11,18575,5,27067,136,11880,6488
3,38,13,577,5.8,617,9,22181,8,36536,227,16802,7659
1.75,18,13,315,7.3,368,6,12659,7,19405,95,8088,5426
2,29,13,380,1.7,425,9,14571,7,21981,124,10993,4877
1.5,12,14,272,1.7,289,6,12312,6,16571,99,7343,3850
1.5,17,13,272,3,312,6,12493,5,19366,116,7569,3621
1.5,20,12,268,2.5,323,6,11664,8,17699,87,7917,4267
2,22,7,361,0.9,431,9,16658,9,25843,151,9581,5617
3,45,18,596,2.5,606,16,24915,9,35450,154,14408,8540
1.25,8,5,258,4.2,256,6,8878,5,16306,96,6547,3212
1.25,8,7,225,5.7,249,6,9796,5,14394,98,5991,3038
0.5,4,2,92,0.5,103,2,4053,9,6702,27,2862,1350
0.5,7,3,102,1.6,105,2,3888,5,6215,36,2687,1222
1.25,12,9,233,4.1,256,5,10332,9,15222,86,6948,3179
1.25,17,12,226,4.1,274,6,10405,6,13570,91,6680,3415
1,8,6,208,1.8,204,4,8420,5,10720,73,5568,2685
3,24,14,541,14.3,579,11,21387,9,38570,159,14407,8443
0.5,6,4,101,2.1,95,2,3790,9,5619,33,2619,1343
2.5,27,14,459,0.5,481,11,19170,9,33702,153,13834,6360
3,27,25,577,2.3,564,15,24180,8,36099,219,14176,9029
1,15,6,198,1,212,5,7719,5,11874,79,4952,2397
1.5,10,14,306,5.7,296,7,12593,5,19981,74,8293,3686
3,37,8,578,11.2,632,13,21696,5,31908,185,15695,7544
2,26,14,365,0.8,388,6,15493,8,21232,155,9770,4856
1.25,16,8,231,3.9,241,5,8754,5,16622,76,6947,3220
1.75,21,15,315,2.8,341,9,15008,6,18595,132,8619,5117
1.75,23,16,374,8.7,368,9,13405,5,22841,131,9453,4621
1.75,18,11,321,2.8,351,6,13259,6,21059,133,9188,5305
3,21,13,535,6.6,625,14,22834,8,39708,198,17265,7157
2,26,7,375,2.7,420,10,14249,6,22039,109,10051,5186
1.25,18,6,239,3.1,243,4,9972,6,13268,72,6346,3511
0.75,8,3,143,1.2,157,3,5873,6,9861,59,4348,2110
1.75,12,9,345,2.5,375,9,13147,5,21426,116,9000,4664
0.75,11,5,153,1.6,146,3,6100,5,9384,53,3719,2345
2,27,9,410,1.8,396,10,16351,5,24221,147,11554,4892
1.25,12,9,260,2.6,252,6,9164,5,13571,61,6330,3639
1.75,26,10,355,2.4,337,8,13315,9,23331,96,8643,5428
1.5,15,10,305,7,301,8,11950,6,18181,90,7752,4347
0.75,7,5,146,1,143,4,5336,6,8338,54,3992,2196
1.75,20,8,372,0.2,336,9,12735,5,22152,119,9422,4284
1.75,24,12,331,2.9,356,9,13399,7,22914,136,8472,4581
1.5,18,4,311,5.8,322,7,10771,5,17787,87,8494,4738
2,14,14,360,9.5,384,9,15432,5,26595,125,9380,6053
1.25,8,11,227,6,239,5,10589,6,16483,62,5803,3334
0.5,7,3,107,0.5,94,2,4197,6,6678,31,2510,1438
1,11,10,181,0.3,202,4,8328,9,13080,59,4696,2673
3,45,26,633,6,636,16,24874,6,39897,193,15065,8992
0.5,6,2,107,0,100,2,3712,9,5282,38,2823,1401
1.75,21,10,375,3.2,370,6,13598,8,21535,116,8158,4777
2,14,9,397,7.9,377,10,14335,9,26233,107,10177,5693
1.75,24,14,337,8.5,385,8,12424,9,23436,98,8338,4536
0.75,9,2,144,2.4,160,3,5805,6,7900,56,3842,2157
1.75,18,16,336,7.6,336,6,14195,9,21942,114,10023,4028
1.75,22,16,359,0.7,352,10,12690,5,19254,112,8761,4300
2.5,37,8,469,9.2,524,9,20179,7,32176,136,12606,7622
1,10,8,208,2.4,193,5,7906,6,11660,58,5273,2548
1.25,17,11,266,0.7,272,5,9009,5,15477,69,6247,3377
1.5,15,10,300,5.7,281,7,11689,6,18112,73,7899,3752
3,25,28,549,9.2,630,14,21053,5,34281,179,16636,8175
1,14,7,180,0.2,191,3,7953,6,10904,78,5480,2612
1,12,7,183,1,208,4,7251,7,11706,65,4913,2715
1.5,12,10,297,2.5,316,5,11289,7,18897,73,8099,3800
0.75,8,5,152,1.9,156,3,5492,8,8835,54,4322,2028
1.75,14,7,356,5.5,347,8,14016,9,20739,139,8273,4445
1.25,14,12,249,3.2,266,5,10678,5,16146,84,6595,3708
1,15,9,214,2.9,216,5,8159,5,11817,48,5261,2701
2,27,14,421,6.9,415,9,15411,6,21337,125,10468,6376
0.5,7,1,90,2.5,109,2,4191,9,6286,26,2514,1494
0.5,3,5,106,2.1,108,2,3965,6,6004,30,2689,1330
2,18,10,403,3.9,420,10,16757,7,24708,124,10232,5989
1.25,17,5,232,1.7,250,5,9894,8,15808,98,6100,3695
0.75,6,3,136,2.4,144,2,6419,7,8399,53,4083,1950
0.75,8,7,154,1.8,165,3,5488,7,8481,47,3696,2076
1.25,9,5,227,5.5,255,4,10740,7,13648,94,6400,3899
2,13,12,361,2.3,386,10,14490,8,23433,143,10853,4748
0.75,6,6,136,2.4,142,4,5577,5,9629,52,3528,2198
1.5,15,8,291,6.2,295,6,11639,9,19307,106,6985,4382
1,14,8,178,2.1,193,5,8406,9,10688,65,5522,2905
2,18,5,393,9.5,406,7,15939,5,24384,126,11293,4740
0.75,7,4,135,3.6,149,4,6306,7,9712,49,3932,2011
1.5,22,14,321,1.3,289,5,12295,8,17927,85,7013,4029
0.5,4,1,99,0.4,109,2,3626,6,5330,29,2725,1324
1,13,7,191,4.1,210,5,7690,6,11012,73,5230,2957
0.5,7,2,99,1.8,94,2,3780,5,6640,33,2553,1322
1,10,10,215,2.5,192,3,7714,8,12103,65,5152,3147
1.25,12,8,266,2.4,241,5,9986,7,14732,78,6569,3858
1,6,5,206,4.9,195,4,7640,6,10899,75,4813,3044
1,9,4,184,3.3,206,4,7030,7,10592,76,5727,3137
2,16,19,405,1.8,439,8,14793,9,25265,147,10217,5320
3,27,13,628,8,573,12,21471,9,38511,218,14921,8353
1.5,16,14,280,2.9,327,6,12289,8,18054,77,7956,4072
2.5,16,24,481,10.8,477,11,20533,5,26945,198,12214,7786
1,11,4,180,1,200,3,7894,5,11790,55,5783,2420
2,26,18,388,1.2,386,9,15525,6,22643,151,10770,5161
1.25,12,4,223,1.2,245,6,10740,9,15415,65,6851,3865
1.25,15,11,245,5.9,255,4,9603,7,16775,77,6180,2984
2.5,31,23,529,9.1,547,11,17933,7,29070,147,13432,7903
0.5,5,5,98,1.2,110,2,3800,6,5643,36,2412,1152
1.75,13,14,357,4.4,344,8,14969,5,21221,95,9072,4218
1,10,7,197,0,189,3,7303,5,10984,65,5629,2997
3,40,19,576,7.9,581,9,23005,9,35100,224,14890,9431
0.5,6,4,98,0.2,109,2,3542,6,6626,29,2569,1543
