Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,250,200,75,675,150,4,5,2500,9000,23.5,236,2250
1.5,361,305,126,961,213,5,6,3685,14640,33,429,4122
2.5,640,499,151,1627,354,6,10,6203,20474,70,666,5723
1.25,296,264,91,772,179,6,6,3161,10841,32,268,3280
0.5,122,92,28,333,78,4,3,1338,3958,14,138,1033
2.5,608,484,186,1621,353,3,13,7125,22918,59,590,6082
2,532,384,124,1374,282,3,9,5157,17379,41,572,4250
0.5,134,103,41,321,81,5,2,1239,3690,11,113,1435
2,554,342,157,1384,289,3,10,5012,19889,47,576,5650
1.75,479,354,134,1096,283,6,6,4511,15541,36,499,3708
2.5,654,509,180,1728,371,5,13,6635,20552,58,713,7049
1.5,351,319,106,995,211,5,7,4295,13831,36,403,4355
1.5,385,305,126,1045,247,3,7,4040,10503,32,398,3052
1.5,393,302,86,968,232,5,7,3617,12311,40,325,4287
1.75,487,354,128,1175,274,4,7,4945,16435,50,486,4651
2,460,365,149,1330,319,4,8,5000,14609,56,437,4621
1.5,348,305,95,902,244,3,8,3787,12636,32,332,3605
1.75,457,337,116,1186,286,3,9,4910,13163,48,473,4885
1,265,173,81,671,143,6,5,2672,7219,22,216,2379
0.75,202,129,42,525,122,4,3,2043,6965,22,214,1717
2.5,631,462,186,1664,363,3,12,6787,21545,59,626,5006
3,768,573,201,1808,457,6,15,7944,23558,77,849,7382
1.25,338,228,90,819,194,3,5,2958,10615,25,282,2739
2,487,385,128,1219,307,6,8,5150,18616,58,466,5254
1.75,446,374,109,1102,288,4,9,4695,16384,46,450,3706
2,510,370,125,1384,293,4,9,5367,18534,53,559,5689
1.25,330,220,88,830,181,4,6,3460,11882,36,340,2513
0.5,134,96,30,304,74,5,2,1257,4714,14,112,1220
1,236,205,64,676,145,3,5,2626,7159,27,288,2453
1.25,343,243,87,865,181,4,5,3125,11234,31,281,3641
1.5,414,306,85,982,216,4,7,4153,12092,34,411,4297
1.5,373,301,126,983,235,4,6,3696,10864,40,433,3648
0.75,188,134,50,509,118,4,3,1832,6247,20,213,2068
1,239,175,69,671,149,3,4,2640,9961,21,258,2942
2,537,361,158,1375,305,3,11,5322,17101,51,458,5457
1.25,291,253,104,861,196,3,5,3049,12314,32,331,3173
1.75,431,320,129,1107,284,5,6,4471,12756,41,392,4010
1.25,293,225,101,821,190,3,6,3093,10267,28,318,2861
1.75,458,337,146,1132,263,4,9,4335,15088,37,483,4867
1,243,187,61,686,152,6,4,2396,9607,20,281,2960
1.25,335,248,96,868,191,6,5,3416,10076,31,337,3486
0.5,127,103,32,332,75,4,2,1263,3951,13,130,1039
1,253,201,62,692,142,6,4,2649,9565,24,272,2260
2.5,650,478,209,1725,392,3,10,6488,18417,55,624,6007
1.25,299,245,97,755,198,3,5,3326,12330,28,283,3654
1,270,172,68,684,160,4,4,2725,8552,20,274,2201
1.75,436,348,138,1062,278,6,8,4570,16824,46,490,4383
2,550,392,128,1313,294,5,10,5042,15984,48,517,5927
2.5,621,503,192,1573,390,5,12,6568,21772,73,694,6625
0.75,178,142,57,491,115,6,4,1725,5745,16,167,1877
2,528,383,125,1300,300,5,7,5542,15082,41,423,5169
1.5,417,268,123,1024,231,3,8,4201,10731,38,372,3477
2,474,347,113,1250,321,6,9,5572,15538,42,514,5780
0.5,135,93,28,346,76,3,2,1380,4631,15,117,1043
1.5,379,274,98,940,232,5,7,3885,13142,33,332,3190
0.5,123,85,32,303,81,3,3,1404,4270,14,126,1096
1.25,324,220,92,798,176,5,6,3411,9003,33,339,3107
2.5,685,484,203,1668,381,5,12,5802,21124,53,690,6630
0.5,134,88,34,312,76,4,2,1290,3916,14,139,1280
1,245,200,83,607,163,6,4,2423,8875,21,250,2666
1.75,459,333,103,1133,262,5,7,4707,15247,43,372,3535
0.75,208,143,48,467,106,3,3,1732,6208,15,180,1774
1,256,171,72,671,150,5,4,2758,8089,25,273,2288
2,496,386,148,1262,283,5,7,5255,15368,56,473,5011
1,274,192,56,648,162,4,4,2346,8222,25,212,2501
3,762,593,207,1951,489,5,15,8463,21793,75,869,7854
1.75,474,351,126,1206,259,6,8,4053,16854,46,405,5165
3,700,525,208,2021,425,5,13,8377,22283,66,852,6379
1,272,197,56,629,140,4,5,2401,7702,29,235,2372
0.5,118,106,37,311,82,6,2,1398,3524,12,131,1008
2.5,660,433,159,1697,356,6,10,5908,24276,72,578,5511
2,473,353,143,1238,320,5,9,4958,19661,57,439,5730
3,767,548,186,1945,423,6,15,7570,24116,70,803,8448
1.5,415,293,92,902,221,3,6,3888,12764,38,383,3009
3,728,631,215,2056,445,3,13,8224,29787,70,852,6160
0.5,126,87,34,327,76,3,2,1326,3542,12,120,1452
0.75,190,150,50,518,108,4,3,1780,7145,16,186,1514
2.5,697,492,199,1738,367,5,13,7135,20196,53,669,5539
3,728,637,235,1820,485,5,16,7421,24296,75,652,7007
0.5,116,86,28,314,76,5,3,1375,3920,12,124,1164
1.25,338,231,72,801,177,3,6,3263,10757,37,350,3633
2,468,353,131,1375,319,5,10,5444,18629,41,468,5888
2,524,354,169,1287,329,6,10,5604,17218,55,473,5588
0.5,135,104,36,338,78,3,2,1318,3788,12,125,1316
0.75,183,135,59,467,116,5,4,1846,6985,17,200,1624
2.5,699,487,147,1552,358,6,13,7204,19170,74,710,7265
0.75,206,146,47,495,118,3,3,1808,5281,17,196,1515
1.25,295,215,100,767,186,6,5,2918,11860,35,288,3642
1.75,474,349,122,1143,257,3,10,4859,12335,43,404,5053
1.5,393,316,85,923,234,5,6,4173,11925,31,327,4005
3,710,569,211,1824,433,6,15,7332,29431,78,711,8270
1,277,193,69,635,163,3,5,2839,7586,30,265,2161
1.25,310,255,85,818,178,3,7,2930,10181,33,302,3557
0.75,177,137,61,464,120,4,4,2170,5336,15,187,1691
2.5,587,494,163,1612,361,6,12,6626,17567,68,647,5031
3,740,621,173,2089,421,3,13,7935,28164,67,838,8533
1.25,329,241,73,752,198,6,6,3495,9047,36,345,2953
1,269,200,84,623,154,3,5,2432,7426,28,272,2419
0.5,134,104,31,306,75,4,2,1366,4836,11,130,1347
1.75,438,374,144,1220,272,6,9,4944,13912,48,460,3627
0.5,126,107,31,340,72,6,2,1281,3738,13,105,1043
1.75,463,372,141,1075,271,4,7,4495,13909,42,463,4843
