Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,400,150,100,6600,1000,4,8,60000,9000,15,9622,1905
0.5,218,87,62,2907,473,5,4,28538,4799,7,4715,944
0.75,281,130,80,5158,701,4,6,44343,6147,10,6925,1431
1.25,474,163,154,7034,1261,4,9,70967,11421,21,11956,2507
1.25,529,191,131,8300,1081,3,10,77300,10271,22,11963,2637
0.5,185,90,57,3080,409,4,4,29191,4739,8,4858,1084
3,1159,536,316,21520,2572,3,22,186619,25688,45,28581,6497
3,1193,435,317,17783,3103,5,24,189698,24326,39,27627,6487
2,837,333,215,13215,2037,6,15,130420,17415,28,19129,3795
2.5,894,376,303,16365,1881,3,18,149724,21124,38,23817,4929
0.75,298,133,92,4637,851,6,6,48791,6087,13,6921,1643
2,891,301,214,13461,1679,5,15,117421,18443,32,18848,3994
0.5,210,87,62,3027,405,6,4,31699,4599,6,4707,1082
3,1253,393,291,17523,3535,6,24,173138,26205,44,28473,5934
1.75,682,240,140,10308,1760,6,13,110407,16116,21,17246,3744
0.5,207,79,51,3519,580,2,4,29576,4785,7,4776,1031
0.75,332,133,60,4720,731,4,6,48966,6652,13,7280,1474
1.75,761,218,184,10967,1885,5,13,113240,14900,28,16624,3742
0.5,177,88,57,3573,444,6,4,30839,4743,8,4746,1060
0.5,214,89,54,3103,386,2,4,29456,4028,8,4833,944
2,768,264,230,13770,1570,2,15,122841,19662,25,19371,4272
1.75,732,249,156,10600,1493,4,14,107446,17325,23,16554,3614
2,766,319,223,14172,1715,2,14,124162,16043,34,19115,4207
1.25,495,157,152,8204,1344,3,9,74645,10032,19,12297,2608
1.5,559,181,161,9696,1469,4,11,87226,12077,19,14829,2920
1,353,149,100,6906,1079,4,8,63217,9578,13,9223,1939
1.25,488,167,116,9041,894,6,10,82377,11430,18,11782,2525
1,351,135,97,5920,1189,5,8,61486,8187,16,9459,2155
2.5,907,339,256,16225,2168,2,18,144860,23469,44,24284,4835
2.5,1015,318,216,16194,2101,6,19,151007,24249,28,23181,4757
2,760,311,202,11464,1967,5,15,116429,17811,25,19696,4227
0.75,285,116,69,4247,626,3,6,46949,6396,12,7254,1416
1.25,525,209,146,7056,902,2,10,79242,10213,22,12202,2693
2.5,888,358,226,14729,2988,2,19,162275,22101,38,23003,5016
1.5,562,246,179,9375,1094,5,11,84126,12535,17,13973,3043
1.5,673,253,134,10164,1478,2,11,98854,12331,24,14432,3297
1.25,499,164,101,7677,1321,3,9,71165,12475,16,11813,2543
2,853,331,248,11694,2395,4,14,130606,19258,35,18457,4346
0.75,304,121,87,5104,660,5,5,48193,6230,11,7115,1449
2,787,263,234,11421,2063,6,15,117768,16823,29,18957,3893
1,430,143,89,6040,810,5,7,65680,9670,18,9594,2173
1.75,657,282,154,10560,1912,4,13,103403,14416,25,16251,3411
