Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,500,100,50,660,3,1,5,50000,8000,10,3800,9000
1.5,224,127,88,558,3.5,4,3.4,74739,5794,59,2637,24899
1,128,93,62,399,2,5,2.2,47489,4077,37,648,17486
1.75,310,182,86,727,2.6,7,3.5,86898,7793,69,1895,30739
3,449,327,121,1109,6.5,6,7.4,149579,11322,106,6221,44891
2.5,424,237,108,1106,7.9,6,5.9,118982,10989,97,4517,40362
1.25,155,118,55,539,1.3,7,2.9,64553,4483,44,2853,22096
1.5,234,155,95,545,5.1,6,3.9,79216,6266,57,2890,23899
0.75,92,72,42,296,1,6,1.7,38135,3135,28,1610,11729
1,165,93,51,381,3,4,2,52629,3847,39,572,16594
1.25,224,119,50,453,5,4,2.6,64682,5504,45,1659,19925
1.25,161,123,62,479,2.4,4,3.4,65336,5088,46,597,19386
1.75,255,184,106,716,2.9,5,4.7,82296,6952,63,1038,26082
2.5,409,252,106,1068,7.2,4,4.9,121941,11314,95,3762,44017
3,424,264,165,1343,4.3,5,6.8,153374,12691,114,4093,45863
2.5,397,223,132,980,3.4,5,7.3,122296,10695,99,909,40037
2,306,169,93,872,4.6,7,5.5,102977,7854,76,3282,32309
1.25,209,132,52,468,4.3,7,3.2,64339,4307,44,1260,19261
2,262,230,81,818,7.8,5,4.4,99220,8165,75,2529,33402
1.5,200,125,90,548,2.3,4,3.6,77927,6826,60,1772,24092
0.5,69,49,21,197,1.8,4,1,25637,1932,18,361,8679
1.75,287,186,89,654,5.4,5,4.6,86967,5970,64,2988,29242
0.5,79,54,30,188,1.7,7,1.5,25728,1941,19,1133,8365
0.5,66,57,21,217,1.9,7,1.3,26349,2334,19,807,7424
2,312,226,100,724,2.5,7,4.2,101448,6844,71,1184,31886
2,290,162,84,791,7.8,5,5.1,102833,7671,73,3340,33680
2.5,441,259,130,929,7.6,7,7.3,123981,10313,99,3125,37638
1.5,185,146,89,608,3.4,4,4,73813,5815,53,943,23698
2.5,322,234,139,1081,4.1,5,5.8,119191,10393,95,828,42977
3,442,326,187,1138,3.6,4,7.6,154492,13137,107,1097,52922
1,169,95,63,420,2.3,5,2,48556,3415,35,1508,17406
1.5,204,145,94,657,5.8,7,3.4,72924,6578,54,2027,24363
3,447,306,139,1211,8.4,5,6.7,149605,10223,113,1887,52875
1.5,232,167,70,646,1.8,7,3.7,72965,5171,57,2826,22215
3,476,308,134,1328,8.5,4,8.9,149251,10572,107,4861,48046
2,307,215,107,750,3.8,5,4.5,99672,8896,76,4254,34948
2.5,361,264,123,1024,8.2,6,7.3,120962,11598,93,1066,39925
3,514,288,160,1253,5.1,4,7.7,145344,12057,107,6325,49121
2.5,386,227,105,920,9.7,6,7,117654,10274,88,5545,41962
2,353,162,89,889,3.6,4,4.1,97710,8576,77,3333,30162
2.5,440,281,123,1003,6.2,7,5.7,125827,9868,96,4277,37656
1,123,107,45,397,1.1,5,2.6,49039,4114,35,911,16220
2,273,226,108,816,4.9,4,5.9,101634,8319,76,4088,29627
0.5,62,54,31,194,1.4,5,1,25352,2265,18,862,8395
1,147,89,58,403,3.2,4,2.3,48201,4193,37,735,17480
1,153,88,58,408,3.3,5,2.7,50426,3882,38,442,15838
1.75,235,150,78,786,5.6,5,5.2,87282,8088,67,3223,26579
0.75,125,75,33,331,1,7,2.2,36974,3447,28,1404,11311
2,289,226,130,788,4.9,7,5.7,101614,7077,71,3344,32660
1.5,261,121,87,651,2.8,4,3.1,73960,5458,55,1016,25098
1,155,83,59,418,4,6,2.4,50662,4425,37,1863,15451
0.5,74,56,23,211,1.7,5,1.4,25682,2097,18,382,8768
1,127,84,61,397,2.3,7,2.8,47271,4380,39,1158,16908
3,409,305,148,1256,5.4,4,7.7,150227,12255,113,3082,44803
2.5,357,216,103,989,5.3,6,6.5,129497,11422,93,4175,41053
2,286,184,110,774,5.5,5,4.2,102244,8815,76,3103,33057
1.25,209,117,69,494,2.5,5,3.5,60276,4517,45,625,20355
1.25,180,109,61,537,2.4,4,2.9,60234,5503,48,527,20079
1,143,81,49,440,1.4,6,2.7,47951,4589,38,2028,16576
1.75,216,190,79,739,3.8,5,3.7,87391,6961,61,2218,28677
1.5,194,156,83,619,5.5,7,4.1,77566,5860,53,2891,24916
1.75,240,185,71,718,2.1,5,4.1,91488,7985,68,885,29767
1.5,237,164,62,630,3.3,6,3.1,76526,5707,54,2916,26454
1.25,153,139,68,539,2.5,5,3.4,64862,5352,48,2463,22002
1,146,98,58,369,3,6,2.9,48899,3817,36,504,16873
1.75,235,154,96,727,6.3,6,4.2,90607,6925,63,1575,27907
2.5,397,210,120,938,9.7,5,4.9,119994,10695,88,5226,39112
3,483,265,184,1199,3.9,4,7.6,141936,10917,115,1945,46903
0.75,122,79,42,327,2.7,5,2.1,38736,2924,30,618,13379
0.75,130,71,48,295,2.5,4,1.9,38533,3473,28,1622,11672
1.5,261,133,93,591,4.3,6,4.5,76881,6504,60,2557,22485
1.25,218,109,61,546,1.5,7,2.6,59931,4598,45,2422,20895
1.25,163,141,75,508,4.8,7,3.7,59873,5530,45,2597,19386
2,341,160,98,795,2.1,6,4.6,102758,8839,77,2633,34076
3,524,302,142,1210,7.2,7,7.9,151272,10917,106,6701,47066
2,288,170,116,740,4.3,6,4.2,94573,8354,75,3121,34862
1.25,152,107,70,451,4.6,7,3.4,65634,4750,49,791,19872
1.5,264,142,88,600,5.5,4,3.8,70783,5507,56,752,22690
1.75,219,196,79,705,5.3,4,4.9,89268,7484,66,1158,28628
1,158,113,62,388,3.1,4,2.5,52093,3579,37,1644,16278
2,318,219,111,743,6.4,7,4.8,104746,8331,72,3600,35782
1.75,255,143,81,759,5.8,7,4.6,86883,7392,63,3167,27565
2.5,319,249,148,1004,7.7,5,5.2,121726,11667,94,4310,43886
2,353,213,85,898,2,6,5.7,98328,7184,73,847,35276
