Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,500,150,50,830,1,4,6,25000,6000,1400,4001,21300
1.75,943,189,94,1473,4.5,6,11,49246,10043,2337,7351,33754
0.75,384,76,38,644,1.4,2,5,19513,4709,959,2914,16216
2,1065,189,141,1755,2.6,2,13,58232,11683,2843,8956,38117
3,1368,345,214,2265,6,3,21,85562,15256,3424,12907,59929
2.5,1195,232,149,2216,5,5,16,74269,17000,3469,10464,51422
3,1571,259,111,2465,5,4,16,79755,15541,3432,12752,70753
1,497,108,55,830,1.3,6,6,29668,5735,1428,4280,21519
0.75,357,65,28,617,2.1,3,5,20770,5159,861,2935,15718
1.5,778,178,64,1155,3.5,6,8,35603,9693,1732,6486,32407
1.5,823,157,79,1168,3,3,8,33794,9334,1819,6681,29638
0.75,389,77,42,574,1.4,6,4,21682,4426,1111,2915,18116
3,1545,324,227,2447,4.1,6,18,80714,16572,3379,12838,70586
1.5,744,173,67,1262,1.6,4,8,34400,10173,2029,6279,30572
1.75,837,223,110,1321,2.6,2,11,50653,10254,2555,7629,40830
1.25,626,162,82,1020,3.1,2,8,31169,7707,1607,5056,23913
1.25,616,118,70,1016,3.4,4,9,33909,7979,1550,5397,27543
0.75,408,96,39,647,2,3,4,20828,3970,909,3248,18738
0.5,244,54,26,419,1.2,6,3,12196,3496,699,2207,11123
1,523,95,40,890,2.6,6,6,22747,5039,1151,3928,24775
1.5,700,144,59,1213,4,5,9,36644,8976,2023,6391,31492
1.25,629,134,57,1124,3.5,3,9,31320,6657,1772,5210,27865
1.5,797,134,85,1254,4.3,4,8,36475,9438,1763,6215,35374
2,908,259,79,1573,4.1,2,13,59441,10402,2501,8739,47437
2.5,1205,220,184,1962,6.9,6,17,70408,17459,3355,11172,61393
1,521,97,49,828,2.9,6,5,26209,6045,1494,4359,23075
1.75,828,182,69,1548,4.7,5,10,50749,8876,2465,6893,38050
1.5,732,137,88,1278,3.9,2,9,41986,7932,1791,6320,29287
2,951,195,149,1535,2.3,6,14,59491,13245,2504,7633,39224
1.5,808,138,71,1144,1.8,5,10,44894,10138,1660,5990,34262
1.5,723,176,89,1349,4.3,5,8,34662,8095,1684,6135,31673
1.25,611,150,77,1112,2.5,2,7,36414,6861,1456,5565,30827
2.5,1167,278,181,2014,5.2,4,14,63371,12981,2935,10341,61873
2.5,1345,211,171,1939,4.7,5,13,58175,13126,2900,10998,57226
0.5,233,43,25,385,0.9,4,3,14973,2532,685,2245,10711
2,1031,216,133,1723,5.2,5,11,47302,11427,2697,7968,47115
1.75,908,154,91,1417,4.2,3,10,49511,10440,2020,7074,40432
2.5,1191,260,173,2106,3,4,17,63110,14927,3481,10898,62118
1.5,804,155,112,1298,4.2,4,10,43925,10386,1771,6286,31405
2,1093,226,104,1799,3.5,2,13,46673,12021,2836,8968,39396
0.5,275,61,36,413,1.4,5,3,13109,2711,646,2151,9531
0.5,239,51,20,408,0.5,4,3,11395,3020,675,2244,12460
1.5,744,153,90,1205,4.4,6,8,40393,9697,1897,6666,33859
2.5,1268,213,131,2018,5.6,5,16,55129,16369,2853,10906,55931
1.75,892,146,92,1403,4.3,6,10,41072,11465,2039,7828,35912
1,505,91,61,752,1,2,6,26854,6334,1455,4263,21549
0.5,247,49,30,413,0.6,4,3,13121,3381,589,2211,11593
2,1016,190,132,1765,2.2,5,13,57797,12961,2329,8866,43994
0.5,255,55,34,394,0.7,6,3,12174,2594,551,2085,10291
1.25,567,162,53,1074,2.8,2,9,32588,6629,1650,5397,26935
0.5,236,45,25,399,1.3,5,3,13756,2813,588,2113,10391
1.75,953,195,80,1349,5,4,11,49446,10149,2245,6711,42047
2.5,1182,312,147,1913,6.7,4,15,64384,15690,3467,9851,49877
0.75,409,63,30,611,1.9,2,4,21014,5186,839,3198,15813
1.75,825,187,77,1354,1.9,2,10,42239,11853,2321,7803,36704
1.25,676,118,71,1109,1.4,4,8,30017,8533,1574,4963,27405
1.75,876,144,63,1540,5,2,11,52333,11261,1934,6685,39531
1.75,898,216,104,1419,4.6,2,11,49773,11321,2411,7775,35428
0.75,345,88,43,664,2,5,4,20675,3938,1070,3037,15248
1.75,793,169,131,1406,2.1,4,12,44828,9331,1978,7247,34677
2,917,194,104,1627,3.1,6,14,46285,10264,2691,8247,47359
2,1010,213,88,1660,4.8,6,12,50108,12256,2892,8146,44296
3,1489,337,177,2665,4.4,5,21,66110,18915,4138,11577,63742
2,905,235,90,1763,3.8,4,13,45698,12083,2933,8112,42035
1.5,708,153,98,1148,3.1,5,10,37462,9840,2212,6258,29036
2,1096,254,118,1783,3.1,2,13,49294,11136,2933,8741,40697
2.5,1343,211,131,2054,3.1,2,17,74229,16940,3623,11184,50629
0.5,237,41,36,387,0.7,3,3,12634,3268,735,2031,9685
2,1027,183,126,1790,4.5,6,10,49071,10181,2972,8570,46677
2.5,1151,292,159,2061,7,5,13,66609,14621,3225,9836,52446
2.5,1281,256,148,2103,3.2,5,17,64596,17495,3560,9921,60642
1.25,600,115,69,1088,1.8,5,7,35979,6361,1409,5221,27077
3,1467,378,201,2412,3.5,4,17,70990,20014,3443,12833,67102
1.75,889,219,115,1354,3.4,6,10,39514,9099,2315,7415,34902
1.75,925,203,98,1391,2.7,2,11,39353,11825,2563,7746,36350
0.75,381,81,55,643,1.9,4,5,21323,4426,933,3132,14947
1.5,714,177,108,1332,4.2,3,10,36551,9857,2245,6485,34249
1.25,678,125,52,975,1.7,3,7,29618,7972,1409,5342,24177
1,535,111,68,895,2.9,6,6,25834,5409,1212,3930,20116
2,991,212,80,1748,4.5,6,11,54770,11898,2686,8766,44468
1.25,603,126,87,1111,1.7,6,7,32707,6540,1706,5529,27732
0.5,246,53,23,376,0.6,4,3,13034,3451,582,1914,10298
2,925,187,74,1535,3.2,4,11,48728,13796,2757,8892,41718
0.75,366,67,36,644,1.7,5,5,17534,4937,967,3218,15196
0.5,256,56,21,419,0.8,3,3,13107,3258,647,1981,10869
2.5,1311,208,186,2170,6.5,3,15,73342,16795,3470,10899,53137
2,983,232,146,1514,3.5,4,13,51197,13820,2737,8800,38377
1.75,926,157,103,1472,4.6,5,10,46109,9941,2560,7088,40225
2,1008,220,119,1758,2.3,3,11,47594,13185,2214,8985,43174
2,939,187,133,1780,5.9,5,12,58571,10192,2445,8143,46601
1,496,110,74,787,2.1,3,5,26554,5814,1146,4064,23172
1.75,908,187,86,1428,4.2,6,12,44236,8758,2292,7577,34520
1,545,105,58,853,1.4,3,6,24731,5040,1135,4138,23636
2.5,1187,277,144,1971,5.3,6,17,71858,16330,3694,9956,48402
0.75,355,73,41,647,1.6,5,5,19489,3974,943,3008,14633
3,1511,300,146,2312,6.8,2,16,66080,16905,3460,12834,69447
1.75,955,225,68,1409,4.8,2,12,50007,10475,2497,6830,33971
1.5,763,183,92,1233,2.9,3,10,36696,9889,2224,6464,32778
0.75,371,96,47,609,1.1,5,4,20881,4246,1002,3210,16616
3,1431,367,196,2483,7.5,4,21,81795,20679,3771,12163,66168
0.75,405,77,54,574,1.7,4,4,22161,4551,955,3007,15757
3,1545,261,145,2639,7,4,17,69307,16006,3831,12087,66113
1,528,129,68,837,2.3,3,6,29263,6135,1278,4394,19443
3,1505,388,173,2564,6,3,17,83816,16917,3596,11552,60919
1.5,801,129,63,1162,3.2,5,8,34834,10267,2012,5899,35559
1.75,822,187,93,1533,2.3,6,12,49143,10620,2101,6669,42474
1,526,114,68,785,2.7,4,6,25744,5649,1426,4323,19647
2,1009,214,111,1687,4,2,13,59698,13290,2940,8952,46419
0.75,346,62,40,565,0.8,2,5,20342,4084,958,3024,16552
2,918,168,137,1767,4.2,3,13,53987,10157,2328,7916,46125
1,460,114,52,810,2.1,4,6,29869,6661,1111,4014,22635
1.25,605,125,61,968,2.8,6,7,36903,6331,1469,5193,24202
1.75,958,200,113,1329,5,4,10,48625,10863,2527,7813,40640
1.25,687,142,57,941,1.6,4,7,34202,6698,1615,4878,29430
0.75,368,92,41,579,1.9,2,4,18999,3938,890,2896,14276
1,468,95,66,803,1.7,6,5,23296,5280,1323,3879,20371
1.75,802,192,72,1485,2.8,6,12,50055,9070,2110,7454,40916
3,1603,382,142,2309,7.9,5,17,75518,17853,3476,12562,60600
2.5,1251,233,168,2047,2.8,6,15,59224,16223,3480,10409,59346
1.5,678,138,113,1275,2.4,2,9,41666,7951,2230,5847,30599
0.5,258,58,22,408,0.6,2,3,11877,3338,571,2039,12173
1,511,120,51,764,2.6,2,6,25499,6757,1293,4189,22501
