Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,250,200,75,830,270,8,0.5,3600,5000,54,2175,1930
3,847,676,274,2606,915,10,1.4,10413,13007,127,6437,5859
2.5,717,587,195,2266,820,11,2,8911,11102,126,5392,4547
2.5,786,484,192,2036,858,10,0.5,9606,13235,127,5269,5138
2.5,592,467,235,2116,715,11,1,8867,13054,129,5401,4738
2,581,361,189,1763,546,11,0.6,7097,9927,95,4541,3823
0.75,217,148,67,619,236,11,0.4,2642,4039,37,1628,1290
2,466,392,136,1685,641,8,0.4,6847,11594,124,4530,3883
0.75,217,135,61,616,208,8,0.2,2574,3507,31,1675,1418
0.75,203,154,49,655,218,8,0.5,2759,3998,34,1723,1555
2,587,479,174,1812,574,8,0.9,7062,9934,108,4281,3844
0.5,160,113,42,415,140,7,0.3,1885,2442,27,1129,922
0.5,115,91,35,452,154,10,0.2,1899,2079,23,1109,942
2,683,392,172,1807,695,10,1.1,7524,9596,126,4514,3807
1.75,450,356,135,1515,550,11,0.4,6822,9204,97,3937,3368
2.5,612,475,223,2246,674,10,1,9467,10303,112,5601,4686
1,262,176,73,874,282,8,0.4,3699,4582,42,2104,1883
1,347,220,76,836,290,10,0.6,3702,4266,54,2103,2041
2.5,795,543,181,2118,661,8,0.7,9609,14005,106,5580,5177
0.75,197,137,62,613,242,7,0.4,2733,3509,31,1625,1309
0.75,190,173,67,634,251,10,0.5,2825,3369,47,1580,1509
1.5,491,314,111,1252,447,10,0.5,5818,8357,65,3345,3064
0.5,171,99,42,433,138,8,0.2,1909,2282,24,1118,908
2.5,631,542,202,2051,827,7,1.1,9115,11367,139,5260,5036
1.25,288,243,103,1016,357,7,0.8,4283,6714,55,2641,2326
1.25,390,254,92,1064,416,7,0.3,4581,6282,69,2850,2540
3,994,632,250,2532,971,10,1.5,10664,12738,125,6498,5395
0.5,172,99,37,453,161,8,0.4,1748,2175,22,1126,941
1.5,372,301,105,1289,463,7,0.3,5447,8372,78,3171,2957
0.5,174,107,38,448,137,8,0.3,1749,2793,27,1143,907
2.5,596,576,182,2212,826,10,1.5,8994,13788,123,5639,5065
2,633,353,181,1707,659,10,1.4,7528,9614,87,4210,4127
1.25,426,245,101,1108,359,10,0.5,4648,6207,56,2650,2387
2.5,601,540,179,2163,666,7,1.1,9497,11193,114,5452,4710
