Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,300,200,75,880,300,10,0.5,4350,6500,66,1745,4780
1.75,505,343,165,1587,467,7,1.4,7459,11619,126,3260,8019
2.5,857,514,173,2171,762,7,1,12220,17600,162,4479,12548
1.25,355,294,103,1070,330,7,0.4,6062,7627,83,2347,6361
1.5,478,346,140,1277,522,8,0.9,6159,9603,107,2599,6428
2,663,376,165,1785,637,8,0.4,8554,12637,114,3472,9015
1,328,192,83,881,301,8,0.8,4454,6475,66,1818,4960
2.5,827,505,213,2113,821,7,1,12366,16255,182,4636,11250
1.25,338,259,115,1083,350,10,0.4,5699,7688,74,2268,6184
2,571,458,131,1696,673,8,0.5,9369,14155,145,3353,8611
3,1049,646,252,2593,952,11,1.3,13800,18967,209,5380,13849
1.75,601,382,132,1418,586,8,0.9,7477,11257,113,3144,7307
3,991,633,234,2561,939,7,1.7,12198,18669,197,5129,15150
0.75,239,132,53,680,244,11,0.6,3531,5176,50,1286,3204
0.75,220,148,57,655,227,7,0.4,3153,4617,50,1317,3571
2,661,464,177,1761,555,7,0.9,8359,13516,131,3719,9189
2,563,349,171,1636,616,8,0.9,9010,12209,133,3448,9048
1.25,351,282,102,1036,412,11,0.4,5361,7711,73,2302,5957
1,349,216,66,826,324,7,0.8,4735,6593,59,1835,4497
2.5,866,538,197,2169,765,7,0.5,10667,17510,148,4337,12009
2,597,367,136,1752,590,8,1.6,8776,12654,121,3401,9638
2,571,358,136,1692,643,11,0.9,8240,12681,114,3587,9121
1.5,496,325,121,1221,448,10,1,7060,9675,96,2599,6887
1,292,194,73,894,273,11,0.6,4877,6823,73,1796,4281
2,548,367,136,1730,638,7,1.2,9072,13862,144,3489,9867
2,551,388,185,1712,537,11,0.7,8750,13698,117,3408,8343
0.75,230,180,69,632,228,7,0.4,3132,4636,43,1245,3801
3,976,525,206,2518,1013,11,1.3,13894,20627,211,5551,13644
2.5,712,512,205,2026,795,7,1.9,12324,16649,154,4388,10868
1.25,415,278,90,1085,437,11,0.7,5248,8514,73,2109,6070
0.75,212,172,50,624,201,11,0.3,3561,5099,52,1371,3364
1.5,461,335,100,1307,485,8,0.6,6701,10206,90,2649,6387
2,555,427,171,1730,653,10,1.3,9856,12924,115,3600,8416
2,677,367,177,1743,694,8,1.1,9554,12932,129,3558,9932
1.25,428,267,96,1022,370,10,0.9,5841,8641,82,2292,6233
3,923,652,272,2614,802,11,1.2,12782,19616,170,5049,13039
0.5,153,105,43,446,171,11,0.2,2023,3226,34,875,2157
2,615,383,152,1646,554,8,1.4,8553,13430,120,3558,9293
2.5,722,501,179,2034,715,8,0.5,10038,17210,185,4353,11414
2.5,729,495,189,2121,660,7,1,11693,16154,179,4461,12621
