Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,350,200,150,710,4,4,6,60000,10000,2900,20600,14550
3,1072,546,288,1981,27,7,20,176207,29170,6551,62320,44322
1,341,201,114,697,4,7,6,53533,9100,3118,19896,14998
2.5,831,432,297,1723,10,7,15,139359,23713,7569,49867,37578
2,671,358,196,1348,14,5,12,120564,21183,7042,40947,28512
1.25,553,266,106,916,7,7,8,67822,11934,3307,25029,18726
1.25,466,222,115,855,7,4,8,67152,13396,3473,24734,18779
1.75,659,356,169,1276,14,6,11,95246,19236,5115,36114,25100
2,866,406,199,1528,4,5,14,111221,20460,6905,40169,28575
3,1288,515,364,2080,21,7,18,183642,31213,10548,64493,44253
0.75,318,133,63,572,5,7,4,42209,7626,2433,15284,10976
2.5,921,511,214,1872,16,5,16,137920,22898,7969,51654,37998
0.75,261,147,62,493,7,6,5,41330,7493,2517,15069,11255
1.5,553,274,126,1110,10,4,10,91794,14993,4776,29109,22012
1.75,751,384,170,1211,15,6,11,106918,17498,4245,35471,25118
0.5,190,102,41,343,4,5,3,30193,4560,1139,10308,7172
1,409,203,81,711,6,6,7,56309,10222,3030,20031,15109
1,415,183,102,702,10,4,6,53103,10116,3579,20562,14805
0.5,189,115,56,371,3,5,3,29536,4683,1218,10271,7175
1,361,223,84,719,4,4,6,52892,10050,3523,20472,14353
1.5,499,260,144,1055,10,4,10,78975,15161,4051,32072,21734
1.75,653,358,137,1322,6,7,12,104310,18372,4233,34802,25403
1.75,601,355,145,1168,14,4,12,98834,16357,6262,35564,25106
1.75,706,307,219,1182,14,6,11,101638,18452,4633,34039,25383
2,701,357,217,1386,6,6,12,120106,19763,6691,42224,29944
3,1042,589,305,2180,17,4,19,164820,32764,9837,63556,43314
1.75,780,361,136,1207,9,4,11,103048,19005,5591,37135,26041
1,446,183,114,660,10,7,6,61983,10937,2453,20349,15158
2,800,372,241,1348,17,5,14,123540,18618,6400,42744,29891
0.75,289,129,78,536,7,6,5,39540,7024,2586,15023,10982
0.5,188,89,54,373,1,4,3,28725,5108,1222,10093,7407
0.75,310,166,87,545,7,6,5,41357,8209,1890,15447,11010
1.75,600,353,158,1183,16,5,11,96863,17477,4540,35396,25893
2.5,1022,535,220,1873,16,5,16,154842,23208,6079,50573,37089
1.25,540,240,118,833,6,6,8,74582,11617,4446,25027,18947
0.5,176,108,51,330,2,6,3,27200,4587,1775,10594,7103
3,1092,631,294,2257,19,4,19,160820,32273,7001,62495,42990
0.5,203,111,58,326,2,4,3,30052,5055,1578,9975,7510
