Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,400,150,100,555,30,7,6,45000,11000,53,428,4693
0.75,332,151,89,545,7,7,5,41347,7171,1816,15695,10977
2,871,362,185,1451,12,7,13,118863,18924,5400,38966,29314
1.75,713,302,204,1275,15,7,11,91192,15782,5132,37607,25680
0.75,282,164,78,551,5,7,5,39733,7265,1852,14595,11078
1.25,418,267,157,897,11,4,8,67321,12350,2690,25288,17860
1,341,175,114,652,6,5,6,54761,10176,3523,19589,14383
1.75,703,360,207,1301,17,7,11,103759,16904,5726,34942,25154
1.25,449,248,113,832,6,4,8,71294,13133,3740,26283,18469
1,342,229,90,746,4,4,6,58590,9201,2181,20745,14793
0.75,266,131,61,549,7,5,5,42503,7228,2160,14934,10990
1,407,179,125,656,4,7,7,58804,9233,2215,20101,14610
3,1213,670,373,1972,12,6,18,180387,28481,9242,60870,42613
1.75,622,385,189,1186,5,5,12,95654,18812,4705,34229,25642
2.5,995,476,264,1820,23,4,15,147196,26978,8590,50353,37016
1.5,589,335,155,990,13,6,10,88115,16314,5344,29427,21359
1,352,228,101,692,3,6,6,60497,9049,2777,21395,15187
1.25,437,220,103,833,8,5,8,69599,12274,4436,25665,19000
0.5,178,103,45,350,4,7,3,26313,4634,1208,10186,7290
1.25,506,263,133,834,11,4,7,65042,13432,4061,25220,17933
2,693,371,186,1325,11,7,12,120536,18749,6520,39925,29742
2.5,1051,474,238,1864,14,5,15,152532,23504,8807,51204,36194
1.5,673,269,122,1121,8,7,9,85862,14834,4537,31699,21648
2,663,449,188,1418,19,7,13,115341,21269,7149,40847,29538
1.5,585,264,181,1088,12,4,10,83504,16352,3819,31428,21869
1.75,624,400,141,1286,5,5,12,104133,18344,5956,35584,25767
1.75,671,375,155,1199,14,7,11,105906,17846,5489,37080,25543
2,693,390,242,1354,12,7,13,115562,20925,5567,42781,30390
0.75,334,149,94,498,4,5,5,45985,8116,1909,15396,10845
1.5,613,269,154,1040,3,6,9,78441,14901,4050,30559,21397
1.75,603,346,218,1260,15,5,11,101714,18772,4703,35600,26466
1.25,562,259,122,924,4,4,8,65060,12757,3317,25803,18982
0.5,192,94,57,335,2,7,3,27682,4694,1599,9715,7599
2.5,876,575,201,1849,9,5,16,143350,25565,5697,51825,35632
0.75,317,130,81,556,5,4,5,41409,8088,2261,16088,10692
0.5,198,110,38,357,3,6,3,26864,4623,1666,10667,7484
1.5,543,288,163,1064,8,5,10,88705,15852,3472,31911,21812
1,381,179,102,687,3,6,7,58059,9777,2794,21327,14629
1,346,201,83,752,9,7,7,56758,10291,2337,19948,14744
2,876,380,207,1405,14,6,13,120854,18576,5509,38964,28854
1,391,229,76,754,2,4,7,59653,9671,2302,20390,14835
3,1257,523,233,2245,14,4,18,172913,28229,8177,60451,44392
0.5,214,113,59,372,3,5,3,26595,4763,1526,10188,7494
1,444,230,105,695,6,6,6,59551,9715,2909,19720,15122
1,340,177,85,657,9,7,6,58188,10822,2272,19727,14783
3,1086,670,308,2098,11,7,20,177408,30431,7419,58618,44472
0.5,186,97,60,364,5,5,3,27208,5214,1466,10124,7333
3,998,537,342,2119,11,6,20,171986,32615,10163,63297,44953
1.5,561,336,172,1146,13,7,10,86597,16031,4817,29553,21459
1.5,670,289,121,980,13,7,10,82818,14637,4261,30364,22667
0.5,204,96,56,378,3,6,3,29412,5177,1529,10513,7398
1.5,557,276,123,1110,10,4,9,79411,16148,4998,31881,22520
1.5,655,321,164,1000,13,6,10,85030,13827,3701,30622,21759
2,807,413,208,1349,6,5,13,111232,20908,5863,40919,30371
1.5,605,299,115,986,14,5,10,82624,16126,3956,32187,21992
1.25,466,279,125,910,10,6,8,75350,12203,2913,24256,17845
0.5,216,100,41,329,2,5,3,26467,4653,1442,10434,7222
1,413,183,108,655,5,7,7,59848,10152,3244,20006,15117
0.5,166,108,52,365,4,6,3,30130,4632,1390,9831,7464
2,769,451,238,1328,14,6,12,118006,21646,5348,39689,28958
2.5,987,562,247,1827,12,6,17,148515,25400,8143,52590,37920
1.5,637,295,161,1110,14,5,9,87205,13610,5229,30383,21424
1.25,447,280,152,906,3,6,8,76507,12974,4163,25669,18232
0.75,295,130,69,501,2,5,5,43765,7914,2307,14941,11291
1.5,551,255,172,1065,11,4,10,85935,14369,4785,29337,22435
1.75,771,303,205,1238,4,7,11,108258,15785,5546,36812,25058
2,668,364,224,1458,18,6,12,121294,19554,6572,40933,29298
0.75,297,134,88,558,3,4,5,43287,7645,1946,15913,10986
2.5,900,535,200,1748,21,7,16,142209,26725,5505,48790,37312
1.75,640,375,202,1138,12,7,10,108452,17075,5450,37511,26021
1.5,548,297,170,1083,15,4,9,91422,15567,4297,31766,21699
1.75,596,394,142,1168,16,7,12,105633,18421,3836,35866,25710
1.75,600,313,208,1305,11,5,12,100090,18679,4677,34415,25944
0.5,165,96,60,351,4,6,3,27685,4874,1227,10097,7420
1.5,580,290,159,1077,15,5,10,85427,13866,5318,29297,21883
3,1143,512,362,2234,23,5,19,170155,28577,7527,64372,43272
1.5,561,318,168,1147,11,5,9,92441,15454,3598,29545,21786
2,865,446,171,1317,6,7,12,104886,20196,7127,40193,28830
1.5,507,259,140,1102,13,6,10,88268,15127,3985,29712,21854
2.5,1038,534,286,1689,17,5,17,133930,22769,7774,53168,37035
1.5,563,299,165,1036,12,4,10,82408,16247,3630,29882,22484
1.5,524,266,142,1146,10,4,10,91165,14265,4211,30099,21577
1.25,491,260,154,868,3,5,8,75793,12159,3320,24607,18096
3,1322,590,353,2190,15,7,19,179544,28298,6800,62730,43308
2,707,356,178,1363,18,7,12,112093,21499,6270,41476,29932
1.75,769,348,208,1253,4,7,10,104498,16903,6052,33973,25051
0.5,222,114,39,334,2,5,3,26042,4964,1182,10292,7272
0.75,330,135,91,528,3,4,4,40900,8159,2330,15824,11005
1.25,555,277,151,887,12,4,8,72194,12978,4421,25700,18237
0.5,186,107,49,371,4,6,3,28483,5406,1268,10220,7562
3,1320,550,366,2006,8,4,19,158000,29009,6880,61749,44188
0.75,336,163,82,489,6,7,5,41305,8186,1780,14595,11394
3,1156,540,362,2060,30,5,19,166541,32032,8117,63795,44231
3,1217,583,359,1953,10,7,20,157922,32333,7187,64422,44648
0.75,306,144,74,544,4,5,5,44272,7583,1687,15764,11252
1.25,472,248,106,845,11,4,8,66125,12087,4435,26744,17981
2.5,899,543,229,1657,20,5,17,143739,27209,7996,52696,36056
0.5,172,106,41,337,2,5,3,26458,4702,1620,10068,7396
0.75,302,130,87,553,7,5,5,43297,7509,1760,15250,10724
1.75,595,315,183,1298,4,6,11,102560,18801,5259,34205,25520
3,1279,638,298,2047,17,7,20,177695,31767,9617,63118,43222
1,339,194,117,668,2,6,6,58010,9440,3569,19626,14584
1.75,621,309,198,1244,12,4,11,103940,18992,4487,37121,26564
1.25,505,273,141,883,12,5,8,74286,12441,3836,25413,18457
1,415,181,110,690,5,6,7,61099,9644,2908,19851,15027
1.75,783,362,189,1164,9,6,11,98817,15847,4401,36832,26076
1.5,503,266,146,1008,6,5,10,80803,15997,4953,32001,22498
1.75,687,375,163,1334,15,6,12,98679,16109,5458,37419,24862
1,447,200,108,739,8,6,7,53491,10479,3457,19887,14419
0.75,288,128,57,506,4,4,5,39720,7690,2200,14925,11051
2.5,1049,542,200,1733,5,5,16,154486,25202,6784,51168,35579
1.5,559,321,130,1090,7,6,9,91151,14574,3730,30382,22532
2.5,858,475,282,1857,14,6,15,137916,26415,5560,53459,37049
0.5,171,95,62,339,3,7,3,29679,4594,1349,10372,7414
1.5,633,266,181,1046,9,7,9,85126,15113,5106,30927,21739
1.25,531,232,136,820,5,7,8,65181,13278,2941,26082,18095
2.5,1015,534,230,1662,13,6,16,138178,23827,6990,51982,37284
0.75,276,158,93,551,2,7,5,45163,7179,2425,15633,10822
1.75,757,309,138,1299,8,5,11,93288,18717,4128,34394,25039
1.75,709,349,190,1144,16,5,11,95342,17022,5634,36544,26424
0.75,293,131,91,497,2,4,5,44482,7832,1781,15354,11142
2.5,991,543,195,1628,10,7,17,154017,22647,8065,50214,36107
3,1103,630,335,2254,18,4,19,181123,32492,7841,59390,44880
3,1220,514,287,2195,8,4,20,169551,27985,8752,63640,42699
3,1011,580,333,2006,21,5,18,162132,29887,9695,58297,44887
0.5,169,97,61,361,2,5,3,30288,4580,1345,10433,7544
1.5,638,343,167,976,7,5,9,84071,14230,4075,29955,21470
2.5,873,537,313,1821,6,4,15,142758,23207,7463,48944,36493
1.25,444,254,129,843,5,7,8,68253,13582,3820,25393,17849
1.5,615,296,140,1130,13,4,10,81384,13802,5051,31341,22699
3,1168,539,316,2052,26,4,19,167009,28821,9101,61664,42964
0.75,259,138,84,527,4,4,4,42861,8084,2391,15007,10679
0.75,313,153,91,511,3,5,5,43495,8232,2204,15867,10693
2,807,391,251,1494,13,7,13,121358,19758,4734,40891,30174
3,1018,517,344,2230,12,5,20,172183,31449,10494,61132,43979
1,423,203,79,748,3,4,7,52530,9445,3138,20719,14750
1.5,591,295,144,1122,12,6,9,87562,14242,5333,30614,22769
3,1155,573,373,1953,9,4,19,176334,32020,9327,60069,45339
3,1046,599,355,2106,23,4,19,166012,28497,9382,61535,44179
1.25,435,248,150,943,9,4,8,76774,12892,3630,24672,18082
0.5,171,107,50,368,5,4,3,27857,5483,1666,10533,7406
1.75,715,355,183,1282,7,4,11,103000,16266,5206,36054,26317
1.5,586,308,181,1016,15,4,10,86214,15919,5057,29768,21569
2,845,418,183,1306,19,6,12,122021,21153,5823,41484,29680
2.5,922,483,229,1839,23,7,16,152785,25093,8449,53500,36894
0.5,182,101,63,380,4,4,3,27378,4668,1266,10325,7508
1.25,460,265,120,937,8,6,8,72715,13359,2865,24910,18987
2,752,457,247,1521,7,7,13,120741,20651,5491,41271,28811
1.75,727,376,141,1197,9,5,11,91134,18126,5567,36384,25688
1.75,627,383,177,1313,7,6,10,100055,18584,6140,34635,26060
