Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,300,150,50,760,30,4,6,55000,8000,288,257,2537
3,826,426,118,2271,101,7,18,170232,24770,822,749,7868
1,284,125,53,765,31,7,6,56143,8004,301,270,2513
1,276,145,40,731,29,7,5,55667,7393,305,263,2560
2,715,335,110,1400,49,7,12,113693,14225,586,496,5734
0.5,142,82,23,352,12,4,3,28162,3658,131,122,1368
1.75,544,214,104,1278,58,3,10,94765,14404,480,463,4408
1.5,445,245,76,1068,44,5,10,85415,12154,457,352,3595
0.5,136,71,22,379,13,7,3,28287,4131,133,125,1390
0.75,244,105,34,529,23,6,5,40051,6005,197,173,1899
1.5,428,238,53,1190,42,5,9,82374,10597,455,387,3520
0.5,152,62,29,353,16,3,3,26233,4013,147,127,1425
2,683,265,78,1420,67,4,14,104938,15658,613,464,5373
0.5,141,77,21,369,12,3,3,27133,3762,140,129,1401
1.25,373,183,70,905,31,4,7,67249,9548,350,329,3036
2,718,317,120,1518,70,7,13,113953,16977,590,511,5132
0.75,268,114,35,525,24,4,4,39396,5536,215,193,2231
3,887,464,128,2192,101,4,18,157625,23589,919,782,8223
3,1062,429,110,2234,73,7,20,158880,22698,806,777,8308
0.5,143,83,19,382,13,5,3,28365,3889,132,123,1396
1.75,626,250,74,1367,55,7,12,99367,13882,486,428,5136
0.75,260,122,28,548,22,5,5,41209,6166,220,188,1830
2,604,312,113,1548,66,3,12,113027,16897,601,497,5594
0.5,136,66,25,353,17,6,3,26096,4073,144,131,1289
1,277,156,48,762,32,6,6,53496,7971,272,238,2978
3,818,435,139,2321,99,6,18,163923,24203,893,792,8887
0.5,142,68,29,395,16,4,3,26021,3567,148,127,1363
2,559,328,102,1505,60,6,12,108843,16453,533,475,5324
1,341,165,35,782,32,3,5,53338,8343,299,261,2963
2.5,822,302,91,1975,66,4,15,132418,19966,719,606,6725
1,357,168,40,705,36,3,6,54294,8289,301,253,2614
2.5,738,352,115,1934,79,3,17,139157,18700,717,658,5829
3,1009,494,159,2119,108,3,19,165909,21226,813,727,8296
1,317,161,59,799,33,7,5,55357,7241,294,245,2909
0.5,141,80,19,376,13,4,3,27577,3812,143,131,1360
2.5,809,410,127,1956,86,6,13,137597,20045,744,623,7349
0.75,201,93,41,566,23,5,5,41619,5706,199,181,1962
3,984,476,177,2292,108,5,20,158398,25392,911,710,7002
1.25,365,155,60,957,45,7,7,68368,9698,356,333,3043
0.75,267,127,27,566,20,5,4,40997,5300,221,182,2185
1.75,562,232,103,1331,61,3,10,91144,14492,488,445,4875
1.25,423,207,60,899,31,3,7,70618,8848,375,327,3204
1.5,438,216,81,1064,50,3,9,85460,11794,404,373,3868
1,281,139,56,741,26,6,7,55963,8396,281,234,2352
1.5,405,237,64,1138,49,5,10,81042,11900,458,370,4197
2.5,765,411,119,1904,78,7,13,137328,19257,707,578,7275
0.75,261,110,31,553,24,3,4,42351,5954,221,179,2169
2.5,775,335,126,1916,70,7,13,140310,19587,651,652,6213
2,643,337,99,1474,72,5,13,105005,16273,570,504,5134
1.75,590,220,72,1389,56,5,11,95201,14697,457,450,4753
1.5,471,244,55,1103,37,6,8,78014,11361,437,356,4287
1.5,534,209,71,1195,42,5,10,85118,12163,431,357,3615
0.5,164,60,23,375,15,6,3,27063,4270,141,115,1308
1.75,575,296,72,1389,48,4,9,96178,14470,500,470,4676
1.75,627,235,91,1306,53,7,12,92657,13840,486,437,5186
2.5,777,341,113,1752,64,7,13,137474,20628,756,627,6688
1,310,169,56,754,27,3,6,55361,7555,270,238,2536
1.75,486,252,98,1308,49,4,11,91023,14158,470,408,4026
1.5,488,192,65,1177,40,6,8,79893,12198,393,378,4165
2,709,286,97,1467,69,3,13,107035,14821,548,486,4987
1.75,569,220,63,1251,49,5,11,92662,14302,531,415,4271
2.5,808,405,110,1875,69,3,17,137067,20708,748,619,6250
0.75,230,121,45,592,20,6,5,40530,6151,217,202,1870
1.25,393,203,75,989,32,5,8,69742,10210,365,325,3324
1.5,483,204,70,1158,42,3,10,80623,12243,391,371,4307
3,1047,436,123,2352,89,5,16,158302,21957,870,779,8724
2,702,275,73,1533,61,7,13,110786,16161,574,516,5403
0.5,138,80,21,351,18,7,3,27169,4097,146,131,1258
1,322,148,49,732,30,3,5,56946,7219,308,241,2367
2.5,703,359,123,1943,75,5,16,138663,21424,692,635,6675
2.5,705,397,145,1782,83,6,13,134079,17917,714,576,6582
1.25,412,160,47,901,43,3,7,65223,10714,359,333,3633
3,961,429,129,2238,89,6,17,169157,24727,829,793,8995
3,1035,448,140,2298,84,3,17,161660,23031,841,691,8912
1.25,382,212,53,983,32,7,7,65383,9618,352,308,3676
1.75,476,231,76,1266,59,6,12,94843,14932,542,456,4052
1.75,624,271,65,1308,48,7,10,98571,14878,537,444,4077
1,337,146,48,739,29,3,6,56022,8509,279,264,2778
2.5,813,320,122,1808,87,4,13,138304,21205,670,672,6999
0.5,140,84,28,386,16,6,3,26816,3572,148,127,1274
1.25,379,171,67,991,40,5,7,65430,9597,364,304,2878
1.75,591,245,73,1338,49,7,10,98839,13159,483,414,5050
1,312,121,49,732,25,3,7,55737,7677,294,230,2563
1,292,149,49,792,25,3,6,55344,7070,294,259,2574
0.75,263,114,32,541,24,3,4,41147,6176,232,200,1964
1.5,431,249,56,1190,53,6,9,84810,10742,410,384,3627
1.5,429,245,85,1153,42,5,10,78262,11586,437,385,4028
2.5,805,314,104,1807,61,4,14,132803,19762,692,590,6635
0.75,230,93,45,594,22,6,4,39914,6053,198,195,2008
1.5,530,217,85,1088,50,5,8,85482,12482,430,355,4421
1.5,469,246,81,1092,40,4,8,79351,10636,453,349,3912
0.5,149,78,23,381,13,5,3,27527,4237,142,123,1358
3,998,435,112,2395,91,4,17,169547,22011,888,747,7466
2.5,687,423,126,1893,80,3,15,131583,20798,686,622,6269
1.25,341,202,48,919,36,4,8,66989,10062,354,319,3574
0.75,269,92,40,542,25,6,4,41991,5518,213,173,1894
2.5,728,326,96,1756,73,5,14,135554,20543,720,636,5980
1.25,371,182,48,939,38,6,9,70356,9661,356,301,3247
1.75,538,256,94,1331,60,6,10,95288,13537,538,425,5161
1.75,548,264,95,1233,51,3,11,98925,14075,479,449,4132
3,918,413,122,2309,100,7,18,156119,24624,870,734,8074
1,287,160,48,724,33,7,6,54406,8194,262,232,2571
1.75,493,214,84,1254,44,3,11,91824,12308,473,455,4330
1,322,123,46,729,30,5,6,55129,7285,278,253,2741
2,537,287,103,1463,57,6,13,108889,14759,567,515,5750
2,682,303,76,1441,64,5,13,112799,14209,522,475,5762
1,304,133,36,766,31,5,7,53995,7522,307,260,2966
1.5,463,228,68,1192,45,4,8,83734,10800,458,365,3581
2.5,800,316,114,1804,62,7,16,139548,19248,657,597,6386
1.25,428,173,49,964,35,7,7,69604,9058,367,317,3513
1.5,456,226,66,1076,45,5,9,80864,11366,453,402,3749
3,980,504,157,2175,103,7,16,158037,24073,912,777,7807
2.5,809,398,121,1950,75,3,15,136668,19362,689,585,6941
1.5,419,218,80,1188,51,7,10,81917,11369,427,381,4240
1.25,357,155,59,948,44,6,8,66726,10672,358,307,3654
2,532,297,77,1510,55,5,13,105523,15448,547,526,4674
0.75,196,97,41,599,25,6,5,40271,5928,231,183,1763
3,807,471,121,2225,88,6,15,161195,24901,850,719,7189
3,872,411,178,2208,93,6,19,168640,24537,812,708,7243
0.75,221,106,35,554,20,5,4,40691,5752,230,179,1953
1.75,481,216,98,1359,62,3,9,95423,14505,470,471,4533
0.75,195,109,35,595,23,6,5,39065,6302,212,195,2166
2.5,721,314,113,1938,87,3,15,130731,17567,681,581,7252
1.5,523,252,77,1127,44,5,9,78729,11327,453,355,4093
1,274,143,53,759,35,3,6,53143,8124,309,232,2707
1.75,577,268,63,1328,50,3,11,93004,14116,514,410,5249
1.25,444,161,56,979,35,4,8,70987,10306,327,295,3307
0.5,157,71,28,388,17,6,3,26282,3518,154,127,1210
1.5,488,212,71,1164,39,6,10,80836,12171,402,352,3570
1.5,413,185,76,1106,39,4,10,82875,10693,418,394,3719
1.25,351,169,44,974,41,5,7,67613,9456,329,335,3532
2,661,245,104,1435,69,5,11,106425,17169,562,499,5552
3,844,420,122,2147,92,6,15,169756,24632,872,747,8603
2,578,316,108,1514,67,4,12,106720,15302,578,527,5277
2.5,867,329,133,1930,75,7,13,136652,18052,704,646,6329
1.5,433,246,85,1180,48,7,10,82266,11943,446,377,4140
1.5,440,254,75,1196,41,7,9,84781,11341,418,358,4109
1,292,136,38,776,30,4,5,53069,7751,294,239,2959
3,860,459,136,2341,85,5,19,164512,21040,918,705,7053
