Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,150,100,50,400,1,2,0,50000,5,38,257,5500
1.75,230,167,106,652,5.4,3.8,1.7,84738,5,67,1396,10143
1.5,208,148,83,593,5.5,4.4,1.7,79267,7,54,2649,7454
2.5,346,203,122,1091,7.2,6.8,0.4,131965,7,88,1379,13222
0.75,131,73,44,312,2.7,1.7,0.5,36685,6,27,872,4365
2,296,208,128,817,4,5.6,0.5,99374,4,71,3676,11281
0.75,116,81,31,298,2.4,1.7,1,36252,6,29,1562,4203
1.5,234,124,78,651,1.5,3.8,0.6,79313,4,59,1528,8386
1.75,290,162,79,726,3.1,5.1,1.9,82359,6,67,4019,9536
3,513,251,160,1179,11.7,7.2,0.9,145635,6,114,5328,17314
1.5,240,132,91,586,5.1,3.2,0.2,73130,6,56,2861,7642
0.75,112,64,36,296,2.5,2.2,0.8,37314,6,26,1168,4344
1.75,239,165,87,734,5,4.1,0.5,88028,4,64,2042,8607
0.5,66,48,20,210,0.6,1.3,0.6,24611,6,19,818,2633
1,165,111,64,446,2.1,3,0.7,52060,5,35,1391,5519
0.75,115,75,43,314,1.6,1.6,0.9,38350,6,28,1711,4180
0.75,113,65,33,305,2.7,1.7,0.4,35493,6,28,924,3776
2.5,435,252,152,901,7,6.6,1.6,123266,7,96,984,14237
1.5,200,166,75,636,5.8,4.3,1.8,71670,5,58,3096,8841
0.75,110,80,33,320,1.9,2.1,0.4,39504,5,28,1174,3818
1.5,235,169,83,653,5.6,4.4,0.6,77919,5,55,1147,8289
1,179,111,54,404,1.3,1.9,0.1,48602,4,37,867,5087
1.75,213,183,88,730,4.7,3.5,0.3,90001,5,64,1254,8854
1.5,265,152,85,641,3.1,3.7,1.4,72092,7,58,3345,7784
1.75,245,159,97,671,6.6,3.5,0.3,90678,4,70,1479,10282
1,175,85,49,362,2.8,2.1,0.8,50670,4,37,2171,5650
3,418,296,130,1122,11.5,5.8,1,155789,4,109,2684,17503
0.5,61,47,30,217,0.8,1.3,0.2,25085,4,19,949,2583
1,150,110,59,445,1.1,1.9,0.9,49835,7,36,491,5892
3,419,255,186,1155,11,6.6,2.8,157435,5,119,5040,15410
1.25,155,137,73,525,2.8,2.8,1.6,62494,5,48,1516,7092
1.5,185,122,80,549,5.7,3.2,0.3,74243,5,57,3238,7222
2.5,440,247,111,928,5.9,6.1,1.6,118301,4,92,3645,12478
1,147,80,41,445,3.8,2.9,1.4,52947,6,40,768,5489
0.75,100,61,43,308,0.8,1.9,0.3,36547,4,29,584,3696
1.75,301,152,97,670,3,4.3,0.4,89440,6,61,1968,9682
1.75,279,146,111,633,2.6,3.6,0.3,88665,4,66,2071,10053
0.75,113,73,41,328,2.9,2,0.3,37176,6,27,1706,4352
2,256,171,109,841,5.3,4.4,0.6,102679,7,72,822,11702
2,314,162,129,748,2.6,5,0.4,98424,6,74,2838,9767
1.75,291,165,106,776,3.1,3.6,0.9,90909,6,62,713,9210
1.5,244,149,74,561,1.5,3.6,1,78534,4,56,2364,8570
3,431,272,156,1140,7.6,8.2,4.2,142145,7,113,4138,17127
1.5,256,123,97,591,3.3,4.3,0.9,73129,7,58,1076,7462
2.5,394,213,137,1041,5.8,6.3,1.5,123304,7,96,2919,14237
2.5,309,243,122,966,7.9,7.2,1.3,123476,6,95,2244,14652
0.75,93,66,38,297,1.8,1.8,0.3,39227,7,27,1157,3675
1.25,196,125,51,458,4.4,2.6,1.1,62264,5,45,643,7198
2.5,450,281,159,1069,9.6,5.7,3.3,124466,5,94,4688,13008
2,273,183,86,884,3.1,5.6,0.6,105146,5,73,2525,9814
1.25,150,100,64,501,1.7,3.3,1.4,65661,7,46,2318,6376
3,473,243,190,1168,9.2,8.2,2.9,151381,4,116,5679,16574
0.5,81,51,24,205,1,1.1,0,24021,7,19,339,2939
2.5,358,216,123,922,5.2,6.4,2.3,122051,7,95,3642,13651
1,135,98,63,371,2.5,2,0.3,50883,6,37,2284,5823
2.5,316,281,126,1003,7.8,7.1,1.3,123592,4,92,1460,14024
1,157,91,64,404,1.2,2.8,1.1,48530,6,35,1222,5635
1.5,247,148,69,569,1.9,4.3,1.3,72699,7,55,2168,7712
1.75,240,177,76,692,6.2,4.8,2,84206,5,66,3227,9381
1.75,294,157,103,650,3.4,4.3,1.9,87034,7,61,2060,10263
2.5,314,243,155,924,9.1,5.8,0.4,125525,6,99,1024,13614
1.25,201,133,65,547,1.5,2.7,1.6,62404,5,47,1344,6113
1.75,230,193,96,665,4.3,3.4,1.4,90995,6,65,3754,9931
1.25,201,143,66,523,4.4,3.6,1.6,64882,6,48,1300,6516
1.5,249,144,70,633,5.1,3.3,1.6,76111,6,54,1160,8236
2,240,187,91,752,3.4,3.9,0.5,105194,7,78,1032,11790
0.5,72,42,30,190,0.9,1.2,0.2,25615,6,19,418,2574
3,413,301,162,1175,10.5,8.3,1.1,147301,7,109,1900,16916
2,257,170,100,779,2.4,5.3,2.8,97306,6,75,3017,9736
