Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
1,100,50,0,250,100,3,1,1800,5000,60,4200,9000
1.5,157,100,7.2,362,171,4,1.5,2609,6467,81,11940,13490
1.25,130,75,2.8,272,157,2,1.1,2642,5944,74,9867,11159
1.25,117,72,2.4,350,145,2,1.1,2380,6735,87,8927,11439
0.75,81,49,1.1,200,91,3,0.5,1335,3820,38,5248,6862
1,102,57,4.3,259,116,2,0.9,1802,5296,57,8015,9183
0.5,50,24,0.8,123,48,3,0.4,832,2360,34,4070,4461
3,347,169,7.3,641,306,4,2.8,6041,12218,168,24656,26795
1.75,192,101,4.4,451,201,2,2.1,3760,7633,121,11438,15728
0.75,86,36,2.6,204,64,4,0.8,1488,3190,39,5366,6691
0.5,57,23,0,128,57,4,0.4,903,2265,36,2701,4585
1,108,63,2.8,201,104,4,1.2,2132,5236,58,5918,9031
2,224,84,8.8,566,219,2,2,4050,8262,117,12057,18028
0.75,75,47,1.3,193,65,3,0.7,1463,3313,36,6018,6702
2.5,262,161,0.5,673,223,4,3,4922,10665,135,23726,22445
2,243,95,2.5,402,221,2,2.7,3611,8452,109,15497,18482
0.75,80,48,2.6,171,69,3,1,1397,3556,45,6739,6717
3,286,121,8.7,770,330,3,3,6435,14245,149,28496,26806
1,92,48,1.7,285,121,3,1.3,2010,4891,72,6677,9291
1,124,59,0.6,262,89,4,1.3,1770,5490,59,6862,9112
0.5,56,31,1.6,122,63,3,0.6,939,2791,29,2762,4571
0.75,87,39,2.5,190,70,2,1,1483,3129,45,4476,6920
2,204,101,8.6,484,179,3,1.4,3920,8191,111,17452,18248
2.5,279,150,0.7,650,311,3,2.8,4530,12430,164,20084,22397
0.75,88,33,2,181,68,2,1,1566,3076,48,4410,6680
1.75,185,106,5,451,203,3,2.3,2935,8946,84,10991,15957
2,223,128,1.3,429,190,3,2.7,3290,10129,102,11410,17896
1,118,63,4.8,275,94,3,0.8,1632,5261,72,7493,8917
1,110,44,4.7,277,91,2,1.3,1660,4099,61,8125,8916
2.5,302,128,0.1,613,315,3,1.9,4661,12941,122,20952,22849
1.75,194,80,5.9,354,192,4,1.1,2836,9376,125,12023,15884
0.75,93,43,3.5,187,88,4,0.7,1382,3532,48,4790,6802
2,210,122,8.4,498,200,4,2.8,3809,9881,130,18102,18015
1.25,126,74,5.6,350,128,2,1.8,2597,6945,73,8971,11532
0.75,79,39,2.2,176,77,4,0.4,1215,4126,53,5279,6862
1.75,218,107,6.9,475,152,4,1.3,3262,7814,89,12584,15690
3,369,185,14.2,634,381,3,4.1,5300,16666,198,21156,27502
0.5,62,28,0.8,134,49,3,0.7,1055,2629,35,3998,4587
0.75,69,44,1.5,156,88,2,1,1490,3164,42,4563,6744
2,228,89,9.4,500,236,3,2.6,3362,9289,109,17578,17832
1,92,49,2.4,249,126,2,0.9,1886,5108,64,6833,9190
1.25,116,67,6,298,157,3,1,2398,6875,70,7148,11345
2.5,254,116,3.1,644,313,3,1.4,5092,12451,163,13522,22555
1.75,214,109,5.6,372,161,4,2.1,3759,8421,115,9615,15630
0.75,85,51,0.9,152,95,4,1.1,1250,4109,45,4278,6683
0.5,45,32,1.2,110,46,4,0.4,1046,2182,24,3552,4537
3,306,175,5.3,672,340,2,4,5182,12832,216,17109,27037
1.5,182,95,4.7,407,177,4,1.6,3089,6229,74,13141,13790
1.75,196,80,3.2,420,186,4,2.1,3675,9655,93,16358,16007
1.75,198,82,5.5,494,221,4,2.2,3294,8773,107,9972,16164
1.5,152,71,3.9,405,184,4,1.2,3040,7996,103,8281,13788
1.75,198,118,5.4,440,193,3,1.2,2865,7276,92,9568,15885
1.5,151,84,5.9,339,178,2,1.8,2675,8067,99,13021,13639
2.5,279,108,5.7,588,291,3,3,4616,11862,157,17425,22812
0.5,49,21,0.1,142,52,3,0.7,825,2026,27,3161,4641
1.25,156,73,0.4,312,152,2,0.7,2587,5007,85,9409,11541
0.75,82,38,2.3,191,80,4,0.8,1385,3588,49,5354,6904
2,221,121,1.2,549,220,4,1.7,3953,10382,110,12199,18139
3,316,180,9.2,615,284,3,3.7,6061,14998,215,27277,27283
