Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
2.5,24,193,5,689,9536,10,5.7,69457,11371,172,5954,19839
1,9,104,29,257,3915,11,1.8,23544,4689,89,2388,8742
2,9,219,7,529,6902,11,9.7,55383,8674,171,4662,14509
1.5,4,182,19,363,5506,16,5.6,36951,7149,84,3537,10795
1,1,87,11,284,3876,8,1.8,25515,4207,89,2189,7194
3.5,12,285,48,852,12775,13,3.8,95676,17423,304,8248,27385
1.5,20,181,11,406,4594,11,1.8,35123,6658,83,3362,11668
1.5,6,183,4,389,5956,8,6.1,37912,6317,103,3378,11486
2.5,42,218,15,802,8263,12,2.3,68383,10722,131,5565,20644
0.5,3,54,6,157,1917,15,1.4,13851,2276,38,1183,3841
1.5,16,182,29,388,5437,8,4.5,38295,7223,79,3511,11149
2,16,207,55,562,7866,14,4,52646,9209,164,4593,16837
3,27,251,30,882,11742,4,13.7,74207,14031,247,7176,26969
3,27,357,19,900,10084,13,5.6,78891,14580,179,7163,22523
2.5,13,308,69,632,9698,4,4.4,66019,12229,135,5660,20097
1,10,122,29,248,3307,6,2,23996,4893,75,2242,8389
2.5,7,266,8,735,8245,15,4.3,62495,12327,133,5525,18898
1,5,113,21,282,3244,11,4.9,27636,4923,78,2166,8565
1.5,14,130,18,475,4927,4,2.7,35796,6942,122,3411,11033
1.5,8,135,10,377,4864,5,6.8,34869,7258,80,3542,11666
1,7,100,4,242,3694,15,4.7,23714,4368,73,2263,7695
2.5,26,211,50,681,8822,18,6.6,67132,11615,140,5981,18677
4,63,478,89,1157,12950,10,19.4,107509,19072,271,9258,35427
2,25,165,36,510,6702,19,5.1,53039,9974,140,4422,15662
3,43,350,81,748,10446,15,6.4,81049,13340,160,6603,24095
2.5,18,268,55,623,8478,7,4.9,61495,11386,212,5642,20001
2.5,3,228,3,595,9199,13,3.8,66190,11090,155,5831,18079
2,22,159,28,591,6093,18,5.8,49076,9061,145,4547,15101
2,23,235,15,539,7543,10,6.1,52185,9053,107,4312,17331
3.5,50,443,7,1003,11286,4,2.1,97794,15173,192,7743,26022
2.5,8,234,38,588,8419,14,12,65990,11960,182,5552,19352
2.5,13,219,14,725,8809,8,4.8,63407,11230,201,5405,18144
3,23,329,4,773,10807,14,9.3,74754,13039,197,6455,24883
4,33,314,92,938,15550,7,7.1,110293,19928,226,9478,35696
2,22,181,49,498,6713,10,7.9,54891,8583,179,4243,17621
