Cultivated area (hec),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Seed(Kg),Irrigation frequency,Insecticide (lit),Yield (kg),Water (m3),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
0.5,3,34,3,0.2,582,4,1,4906,743,3,41,432
9,58,531,105,3.2,10186,10,15.9,76241,12444,27,645,8636
5.5,54,375,95,0.9,6117,10,11.6,51321,8207,28,432,4414
2.5,16,173,66,1,3161,7,3.3,23105,2875,7,193,2494
4.5,38,239,2,4.2,5684,12,4.2,38831,5395,11,401,3604
11.5,109,610,218,4.6,14840,4,29.2,110937,16995,24,1226,10528
5.5,51,317,50,2.1,6821,12,15.3,51369,7439,20,683,5085
6,60,383,133,3.3,7237,12,7.6,59435,6735,20,602,5271
10.5,55,535,175,5.3,12289,20,14.4,103154,13326,22,1569,9186
11.5,63,650,10,3,13904,5,22.2,98336,15151,44,1085,10832
10.5,82,612,201,9.3,13282,15,28.5,98270,12663,57,1569,10106
9.5,64,572,154,8.9,11262,12,9.4,83924,12116,44,925,8190
14,122,907,364,6.9,15632,17,25.6,128187,18687,66,1985,11656
3,22,196,47,1.8,3735,16,6.9,26740,3999,20,421,2528
1.5,8,79,0,0.2,1787,15,4,13623,1799,9,113,1411
6.5,46,428,158,6.1,7759,5,14.6,60008,7568,23,758,5848
1.5,13,90,41,1.2,1657,20,1.9,13587,2022,6,221,1456
8.5,82,534,16,5.8,9717,6,14.2,79745,10821,33,660,8068
6.5,61,336,77,3.7,8212,8,6.7,64724,9489,19,841,6360
8,40,425,112,5.4,9460,11,16.3,77053,11362,32,607,6915
11,96,697,296,8.8,13129,13,6.8,101580,13608,37,1468,9476
4,38,213,30,1.7,4405,5,10.6,36985,5597,16,469,3384
10.5,91,650,268,7.2,11711,6,16.4,103804,14877,41,1195,8678
8.5,69,439,164,6.1,9448,11,6.6,73069,12251,36,1215,8496
8,61,474,154,7.2,9651,6,16.2,72745,10505,39,923,6523
6.5,52,337,129,3,7961,5,12.4,63433,7425,20,558,6035
3,20,210,71,0.5,3309,14,7.4,25103,3672,19,235,2753
5.5,49,380,10,2.2,7104,8,11.4,52473,7827,25,544,4752
3,25,172,59,1.3,3354,18,6.1,25843,4215,12,221,2908
5,34,346,104,0.4,5718,10,10.2,46099,6708,22,582,4133
10.5,89,654,230,1.3,11664,11,8.9,92692,13775,46,1188,9492
13,71,836,114,12.1,16611,14,16.2,120591,14675,57,1131,11790
9.5,48,508,73,4.8,10480,19,9.9,76962,11109,26,712,8433
1,9,61,15,0.8,1261,17,1.3,9292,1114,5,87,831
2,19,105,15,0.9,2277,10,3.1,18283,2778,8,271,1946
4.5,33,307,116,0.3,5554,6,9.6,43191,5352,28,376,3811
2.5,13,144,63,2.5,2968,9,5.3,22123,2842,15,251,2064
1.5,8,102,21,1.1,1874,10,4.2,14312,1690,5,184,1418
11.5,81,665,161,0.8,13676,18,8.6,111865,14073,73,1694,10270
3.5,21,214,97,3,4331,17,10.5,31825,5188,22,255,3190
8.5,78,434,7,0.8,10809,18,21.6,71901,10215,35,1003,7833
2.5,15,155,60,1.3,3040,6,2.2,21362,3680,16,285,2034
5,40,308,24,0,6470,8,12.9,42428,6495,33,582,4974
4.5,36,282,23,3.7,5345,18,2.3,38645,6386,18,373,3869
5,43,297,96,3,5808,6,9.7,44313,6077,13,563,4889
5.5,43,365,105,1.5,6710,9,10.2,53056,7929,38,429,4679
5,49,257,14,3.5,5683,11,6.6,47105,6874,34,399,4083
1.5,15,97,26,0.1,1770,16,1.3,13738,2071,5,156,1357
7.5,65,411,20,1.1,9126,20,15.8,66002,9458,29,1104,6623
3,21,183,36,2.1,3713,18,3.1,24843,3361,8,395,2648
11.5,74,678,103,7.7,13300,9,12.4,109978,13437,64,1130,9579
4,36,206,89,0.5,5030,15,7.5,34513,4709,10,486,3827
21.5,150,1168,205,4.1,26352,6,60.6,182623,26160,62,1894,21333
7.5,39,495,199,7.3,9427,19,7.3,74072,10534,24,641,6091
3.5,33,225,56,3.2,3948,7,4.5,33457,4846,19,360,3453
1,9,54,16,0.5,1299,18,2.3,8501,1455,5,133,823
16,93,869,249,8.3,20668,16,33.1,143440,22152,72,2186,12883
1,5,63,9,0.1,1210,6,0.9,9226,1252,3,103,982
8,65,449,129,2.3,10040,10,10.1,69358,11523,29,886,6457
1.5,12,90,26,1.1,1792,11,3.4,14725,1954,5,166,1291
5.5,47,304,146,1.5,6423,9,12.6,45965,7837,14,575,5223
5.5,45,295,57,3.3,6511,13,9.5,54225,6776,13,586,4842
4,37,216,35,3.5,4758,4,7.8,36747,4977,27,336,3217
