Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1,1,2,270,1,250,200,75,6,830,2,0.5,2,2,0,5000,8,1,3600,3600,54,2175,1930,2629.955
3,1,1,915,2,847,676,274,26,2606,1,1.4,7.9,3,3,13007,10,2,10413,10413,127,6437,5859,8233.1834
2.5,2,2,820,3,717,587,195,17,2266,2,2,6.8,2,3,11102,11,1,8911,8911,126,5392,4547,6952.9554
2.5,1,1,858,1,786,484,192,13,2036,2,0.5,7,3,2,13235,10,4,9606,9606,127,5269,5138,7185.023
2.5,1,2,715,3,592,467,235,16,2116,2,1,7.5,3,0,13054,11,2,8867,8867,129,5401,4738,6451.0858
2,2,1,546,3,581,361,189,17,1763,3,0.6,5.2,2,3,9927,11,2,7097,7097,95,4541,3823,5727.2624
0.75,1,1,236,1,217,148,67,5,619,3,0.4,2,3,0,4039,11,4,2642,2642,37,1628,1290,2124.8588
2,2,2,641,2,466,392,136,17,1685,1,0.4,6.5,4,2,11594,8,4,6847,6847,124,4530,3883,5250.8668
0.75,1,2,208,3,217,135,61,5,616,1,0.2,2.5,4,2,3507,8,4,2574,2574,31,1675,1418,2133.3744
0.75,1,2,218,3,203,154,49,4,655,3,0.5,2.4,2,0,3998,8,3,2759,2759,34,1723,1555,2076.0966
2,1,2,574,2,587,479,174,12,1812,3,0.9,4.9,4,2,9934,8,4,7062,7062,108,4281,3844,5661.2888
0.5,1,2,140,1,160,113,42,4,415,3,0.3,1.5,4,1,2442,7,4,1885,1885,27,1129,922,1533.1144
0.5,1,2,154,3,115,91,35,4,452,2,0.2,1.1,4,1,2079,10,4,1899,1899,23,1109,942,1290.6708
2,2,1,695,3,683,392,172,12,1807,3,1.1,3.6,4,2,9596,10,3,7524,7524,126,4514,3807,6257.7952
1.75,2,1,550,1,450,356,135,10,1515,1,0.4,3.6,3,3,9204,11,1,6822,6822,97,3937,3368,4734.7958
2.5,2,1,674,2,612,475,223,22,2246,3,1,6.1,4,2,10303,10,1,9467,9467,112,5601,4686,6576.4396
1,2,1,282,1,262,176,73,5,874,3,0.4,3.4,4,1,4582,8,4,3699,3699,42,2104,1883,2632.3454
1,1,2,290,3,347,220,76,5,836,2,0.6,2.1,4,1,4266,10,4,3702,3702,54,2103,2041,3051.2012
2.5,2,1,661,2,795,543,181,21,2118,3,0.7,7.3,3,2,14005,8,4,9609,9609,106,5580,5177,7323.034
0.75,2,2,242,2,197,137,62,4,613,3,0.4,2.5,4,0,3509,7,2,2733,2733,31,1625,1309,2019.4678
0.75,1,1,251,3,190,173,67,7,634,2,0.5,2.2,4,1,3369,10,2,2825,2825,47,1580,1509,2021.2648
1.5,1,1,447,3,491,314,111,11,1252,1,0.5,5.1,2,0,8357,10,3,5818,5818,65,3345,3064,4471.0744
0.5,1,1,138,1,171,99,42,2,433,3,0.2,1.3,3,2,2282,8,3,1909,1909,24,1118,908,1555.0824
2.5,2,1,827,1,631,542,202,18,2051,3,1.1,4.9,2,1,11367,7,1,9115,9115,139,5260,5036,6513.1994
1.25,1,1,357,3,288,243,103,6,1016,2,0.8,4.2,3,2,6714,7,4,4283,4283,55,2641,2326,3128.8818
1.25,1,2,416,2,390,254,92,9,1064,3,0.3,3.7,3,0,6282,7,4,4581,4581,69,2850,2540,3723.0924
3,1,2,971,3,994,632,250,16,2532,1,1.5,5.6,2,3,12738,10,2,10664,10664,125,6498,5395,8860.5576
0.5,1,2,161,3,172,99,37,4,453,3,0.4,1.5,3,1,2175,8,2,1748,1748,22,1126,941,1554.796
