Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1,2,2,30,1,400,150,100,10,555,2,6,4,4,1,11000,7,1,45000,45000,53,428,4693,2365.22
0.75,1,2,7,1,332,151,89,6,545,1,5,3,4,1,7171,7,2,41347,41347,1816,15695,10977,15737.2342
2,2,2,12,1,871,362,185,20,1451,1,13,8.2,6,1,18924,7,2,118863,118863,5400,38966,29314,42059.6048
1.75,2,2,15,3,713,302,204,15,1275,1,11,7.4,7,1,15782,7,5,91192,91192,5132,37607,25680,39741.2364
0.75,2,1,5,2,282,164,78,7,551,1,5,2.6,6,1,7265,7,4,39733,39733,1852,14595,11078,15021.973
1.25,1,2,11,2,418,267,157,11,897,1,8,5.3,7,1,12350,4,4,67321,67321,2690,25288,17860,24106.8
1,1,2,6,3,341,175,114,9,652,3,6,3.8,6,2,10176,5,5,54761,54761,3523,19589,14383,23202.6952
1.75,1,1,17,1,703,360,207,18,1301,1,11,7,7,1,16904,7,4,103759,103759,5726,34942,25154,40096.9608
1.25,1,1,6,3,449,248,113,13,832,1,8,4.4,6,1,13133,4,4,71294,71294,3740,26283,18469,28017.7266
1,1,2,4,2,342,229,90,10,746,2,6,3.5,4,2,9201,4,5,58590,58590,2181,20745,14793,19667.5502
0.75,1,1,7,2,266,131,61,9,549,3,5,3,5,2,7228,5,2,42503,42503,2160,14934,10990,16089.4256
1,2,1,4,2,407,179,125,9,656,1,7,4,4,1,9233,7,4,58804,58804,2215,20101,14610,19739.0466
3,1,2,12,3,1213,670,373,32,1972,2,18,13.3,7,1,28481,6,2,180387,180387,9242,60870,42613,67535.0662
1.75,2,2,5,2,622,385,189,16,1186,1,12,7.4,5,2,18812,5,2,95654,95654,4705,34229,25642,36199.1424
2.5,2,2,23,2,995,476,264,22,1820,3,15,11.3,5,2,26978,4,2,147196,147196,8590,50353,37016,58752.6256
1.5,2,1,13,1,589,335,155,12,990,1,10,5.8,5,1,16314,6,5,88115,88115,5344,29427,21359,35379.6228
1,1,1,3,3,352,228,101,8,692,2,6,4.3,4,2,9049,6,5,60497,60497,2777,21395,15187,21925.7598
1.25,2,2,8,3,437,220,103,16,833,2,8,5.4,4,1,12274,5,2,69599,69599,4436,25665,19000,29800.2548
0.5,2,1,4,2,178,103,45,6,350,2,3,2,5,1,4634,7,5,26313,26313,1208,10186,7290,10132.1668
