,Cultivated area (hectares),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon (kg co2-eq)
0,1.0,1000.0,400.0,150.0,100.0,6600.0,8.0,9000.0,4.0,60000.0,15.0,9622.0,1905.0
1,0.5,473.0,218.0,87.0,62.0,2907.0,4.0,4799.0,5.0,28538.0,7.0,4715.0,944.0
2,0.75,701.0,281.0,130.0,80.0,5158.0,6.0,6147.0,4.0,44343.0,10.0,6925.0,1431.0
3,1.25,1261.0,474.0,163.0,154.0,7034.0,9.0,11421.0,4.0,70967.0,21.0,11956.0,2507.0
4,1.25,1081.0,529.0,191.0,131.0,8300.0,10.0,10271.0,3.0,77300.0,22.0,11963.0,2637.0
5,0.5,409.0,185.0,90.0,57.0,3080.0,4.0,4739.0,4.0,29191.0,8.0,4858.0,1084.0
6,3.0,2572.0,1159.0,536.0,316.0,21520.0,22.0,25688.0,3.0,186619.0,45.0,28581.0,6497.0
7,3.0,3103.0,1193.0,435.0,317.0,17783.0,24.0,24326.0,5.0,189698.0,39.0,27627.0,6487.0
8,2.0,2037.0,837.0,333.0,215.0,13215.0,15.0,17415.0,6.0,130420.0,28.0,19129.0,3795.0
9,2.5,1881.0,894.0,376.0,303.0,16365.0,18.0,21124.0,3.0,149724.0,38.0,23817.0,4929.0
10,0.75,851.0,298.0,133.0,92.0,4637.0,6.0,6087.0,6.0,48791.0,13.0,6921.0,1643.0
11,2.0,1679.0,891.0,301.0,214.0,13461.0,15.0,18443.0,5.0,117421.0,32.0,18848.0,3994.0
12,0.5,405.0,210.0,87.0,62.0,3027.0,4.0,4599.0,6.0,31699.0,6.0,4707.0,1082.0
13,3.0,3535.0,1253.0,393.0,291.0,17523.0,24.0,26205.0,6.0,173138.0,44.0,28473.0,5934.0
14,1.75,1760.0,682.0,240.0,140.0,10308.0,13.0,16116.0,6.0,110407.0,21.0,17246.0,3744.0
15,0.5,580.0,207.0,79.0,51.0,3519.0,4.0,4785.0,2.0,29576.0,7.0,4776.0,1031.0
16,0.75,731.0,332.0,133.0,60.0,4720.0,6.0,6652.0,4.0,48966.0,13.0,7280.0,1474.0
17,1.75,1885.0,761.0,218.0,184.0,10967.0,13.0,14900.0,5.0,113240.0,28.0,16624.0,3742.0
18,0.5,444.0,177.0,88.0,57.0,3573.0,4.0,4743.0,6.0,30839.0,8.0,4746.0,1060.0
19,0.5,386.0,214.0,89.0,54.0,3103.0,4.0,4028.0,2.0,29456.0,8.0,4833.0,944.0
20,2.0,1570.0,768.0,264.0,230.0,13770.0,15.0,19662.0,2.0,122841.0,25.0,19371.0,4272.0
21,1.75,1493.0,732.0,249.0,156.0,10600.0,14.0,17325.0,4.0,107446.0,23.0,16554.0,3614.0
22,2.0,1715.0,766.0,319.0,223.0,14172.0,14.0,16043.0,2.0,124162.0,34.0,19115.0,4207.0
23,1.25,1344.0,495.0,157.0,152.0,8204.0,9.0,10032.0,3.0,74645.0,19.0,12297.0,2608.0
24,1.5,1469.0,559.0,181.0,161.0,9696.0,11.0,12077.0,4.0,87226.0,19.0,14829.0,2920.0
25,1.0,1079.0,353.0,149.0,100.0,6906.0,8.0,9578.0,4.0,63217.0,13.0,9223.0,1939.0
26,1.25,894.0,488.0,167.0,116.0,9041.0,10.0,11430.0,6.0,82377.0,18.0,11782.0,2525.0
27,1.0,1189.0,351.0,135.0,97.0,5920.0,8.0,8187.0,5.0,61486.0,16.0,9459.0,2155.0
28,2.5,2168.0,907.0,339.0,256.0,16225.0,18.0,23469.0,2.0,144860.0,44.0,24284.0,4835.0
29,2.5,2101.0,1015.0,318.0,216.0,16194.0,19.0,24249.0,6.0,151007.0,28.0,23181.0,4757.0
30,2.0,1967.0,760.0,311.0,202.0,11464.0,15.0,17811.0,5.0,116429.0,25.0,19696.0,4227.0
31,0.75,626.0,285.0,116.0,69.0,4247.0,6.0,6396.0,3.0,46949.0,12.0,7254.0,1416.0
32,1.25,902.0,525.0,209.0,146.0,7056.0,10.0,10213.0,2.0,79242.0,22.0,12202.0,2693.0
33,2.5,2988.0,888.0,358.0,226.0,14729.0,19.0,22101.0,2.0,162275.0,38.0,23003.0,5016.0
34,1.5,1094.0,562.0,246.0,179.0,9375.0,11.0,12535.0,5.0,84126.0,17.0,13973.0,3043.0
35,1.5,1478.0,673.0,253.0,134.0,10164.0,11.0,12331.0,2.0,98854.0,24.0,14432.0,3297.0
36,1.25,1321.0,499.0,164.0,101.0,7677.0,9.0,12475.0,3.0,71165.0,16.0,11813.0,2543.0
37,2.0,2395.0,853.0,331.0,248.0,11694.0,14.0,19258.0,4.0,130606.0,35.0,18457.0,4346.0
38,0.75,660.0,304.0,121.0,87.0,5104.0,5.0,6230.0,5.0,48193.0,11.0,7115.0,1449.0
39,2.0,2063.0,787.0,263.0,234.0,11421.0,15.0,16823.0,6.0,117768.0,29.0,18957.0,3893.0
40,1.0,810.0,430.0,143.0,89.0,6040.0,7.0,9670.0,5.0,65680.0,18.0,9594.0,2173.0
41,1.75,1912.0,657.0,282.0,154.0,10560.0,13.0,14416.0,4.0,103403.0,25.0,16251.0,3411.0
42,2.5,1944.0,964.0,424.0,305.0,15163.0,18.0,22773.0,4.0,145484.0,40.0,23002.0,5324.0
43,1.0,1028.0,439.0,142.0,81.0,6253.0,7.0,8801.0,6.0,59970.0,15.0,9277.0,2016.0
44,0.75,548.0,283.0,110.0,58.0,4951.0,5.0,6808.0,5.0,44915.0,11.0,7083.0,1434.0
45,2.0,1451.0,882.0,334.0,184.0,13843.0,15.0,19914.0,6.0,122168.0,31.0,19750.0,4221.0
46,2.5,2632.0,1090.0,395.0,286.0,17553.0,19.0,22732.0,2.0,151795.0,37.0,24639.0,5451.0
47,1.75,1707.0,735.0,235.0,219.0,12369.0,14.0,15503.0,5.0,114192.0,28.0,17088.0,3782.0
48,2.0,1896.0,769.0,359.0,238.0,11216.0,16.0,19359.0,5.0,114734.0,26.0,18802.0,4375.0
49,1.0,904.0,380.0,139.0,89.0,6745.0,8.0,9394.0,5.0,61742.0,12.0,9548.0,2152.0
50,1.25,1126.0,485.0,196.0,110.0,8066.0,9.0,12345.0,6.0,70034.0,19.0,12182.0,2651.0
51,1.5,1523.0,612.0,200.0,157.0,9775.0,11.0,12320.0,4.0,94357.0,19.0,14177.0,2841.0
52,1.25,1447.0,458.0,160.0,150.0,8211.0,9.0,12352.0,4.0,80973.0,16.0,11563.0,2655.0
53,1.75,1964.0,710.0,297.0,197.0,10395.0,12.0,17403.0,2.0,100375.0,31.0,16792.0,3578.0
54,2.0,1449.0,725.0,249.0,232.0,12742.0,15.0,16455.0,6.0,120230.0,35.0,19337.0,4116.0
55,2.0,1694.0,802.0,255.0,176.0,12393.0,15.0,19680.0,2.0,116249.0,24.0,19054.0,3852.0
56,2.5,2200.0,879.0,321.0,314.0,18138.0,19.0,21394.0,3.0,154057.0,40.0,23814.0,5053.0
57,3.0,2157.0,1312.0,518.0,316.0,19355.0,22.0,28682.0,3.0,169224.0,40.0,28233.0,6126.0
58,2.5,1936.0,1108.0,354.0,308.0,15469.0,19.0,21900.0,4.0,155776.0,28.0,23161.0,4704.0
59,0.75,777.0,316.0,93.0,64.0,4637.0,6.0,6359.0,6.0,42848.0,8.0,7319.0,1496.0
60,0.75,737.0,305.0,97.0,90.0,4501.0,5.0,6352.0,5.0,46242.0,9.0,6903.0,1495.0
61,1.0,1178.0,417.0,178.0,123.0,5829.0,8.0,8985.0,2.0,56471.0,13.0,9885.0,1905.0
62,3.0,2524.0,1219.0,495.0,269.0,19631.0,23.0,29696.0,2.0,177448.0,39.0,29580.0,6021.0
63,0.75,723.0,297.0,90.0,90.0,4205.0,6.0,7319.0,6.0,45628.0,9.0,7178.0,1601.0
64,1.5,1549.0,580.0,232.0,160.0,9785.0,11.0,14154.0,6.0,87651.0,21.0,13984.0,3228.0
65,2.5,2591.0,1021.0,303.0,235.0,15496.0,19.0,20363.0,2.0,164004.0,39.0,24307.0,5074.0
