Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1,1,1,35,1,500,100,50,6,721,2,2,1,2,0,7500,4,1,55000,55000,60,694,19768,2944.11
1.25,1,2,39,3,654,129,66,6,953,2,2.9,0.6,2,3,8834,5,2,74480,74480,63,773,25508,3721.5248
1.75,1,2,65,3,982,153,91,10,1305,1,4,0.2,3,2,13763,5,2,104557,104557,105,1208,35013,5622.1556
3,2,2,95,3,1388,290,173,15,2297,3,8.2,4.5,4,0,24387,4,1,165984,165984,191,1963,60762,8344.8864
0.5,1,1,17,1,289,48,30,3,379,1,1,0,4,1,3800,4,3,25082,25082,30,320,10192,1661.27
0.75,1,1,25,1,376,76,32,3,526,1,1.8,0.7,3,0,5894,6,3,39504,39504,41,521,14470,2208.4948
0.75,1,2,27,2,386,78,44,5,563,1,2,0.6,4,2,5601,5,2,44685,44685,47,454,14196,2261.9322
0.75,2,2,27,2,381,75,45,4,530,3,2.1,0.1,3,3,5813,3,3,40773,40773,44,468,14971,2226.6676
0.75,1,1,27,1,384,73,33,3,528,1,1.8,0.6,2,0,5100,4,3,41561,41561,48,505,14209,2249.389
1,1,2,36,1,462,93,65,5,763,1,2.1,1.5,4,0,7797,4,3,54235,54235,52,673,19030,2778.0444
1.5,2,1,51,1,847,155,89,9,1069,3,4,1.1,2,2,11435,5,1,82939,82939,92,1013,30146,4862.724
0.75,2,2,23,2,350,80,45,4,575,3,1.5,0.1,4,3,6017,5,4,44722,44722,51,461,14317,2107.5484
3,2,1,103,1,1561,279,120,27,2303,1,7.7,4.6,3,1,23293,3,3,174507,174507,157,1893,58621,8898.6186
2,1,2,65,3,1060,196,127,14,1430,1,4.6,3.2,3,0,13979,3,3,109059,109059,120,1235,38384,6120.5668
2,1,1,73,1,1030,211,91,15,1405,2,4.4,1.3,2,0,13810,5,2,109206,109206,109,1269,39591,5894.585
3,1,2,96,2,1346,265,127,19,2127,3,6.9,4,2,1,21950,3,2,164657,164657,161,2045,58638,8007.421
3,2,1,107,3,1356,292,170,13,2168,2,7.1,1.3,2,2,21278,6,2,160131,160131,189,1947,56696,8124.1056
0.5,1,1,18,2,240,54,30,3,358,3,1.3,0,3,0,3738,6,2,25594,25594,33,338,9653,1453.8376
2.5,2,2,82,3,1298,285,141,11,1738,1,5.3,0.4,2,1,17652,5,4,134623,134623,126,1636,47645,7431.4034
1,2,2,32,2,499,90,57,5,710,3,2.6,1.6,4,3,7059,4,2,57114,57114,66,644,20201,2968.1528
0.75,2,2,27,2,333,68,43,5,536,2,2,1.3,2,3,5845,5,1,40762,40762,43,474,14772,2007.908
0.5,2,2,17,3,220,49,27,4,382,1,1.3,0.6,3,2,3737,6,2,26242,26242,33,338,10099,1364.4384
2.5,2,1,82,2,1307,221,150,20,1791,3,6,1.8,2,1,19662,6,4,127861,127861,160,1612,49214,7592.0824
1,1,2,35,2,420,111,46,6,709,3,1.9,0.9,4,3,8008,3,3,51523,51523,62,630,19804,2564.9396
3,2,2,102,3,1405,243,138,18,2303,3,6.3,3.9,2,2,22725,3,2,170778,170778,167,1982,59293,8264.959
2.5,2,1,85,3,1097,219,134,11,1856,2,6.5,3.9,2,2,17141,5,2,146172,146172,148,1721,49507,6666.2102
1.25,1,2,44,1,687,109,60,7,919,1,3.6,1.8,3,0,8782,4,2,71744,71744,67,759,25078,3892.2964
0.75,2,2,26,2,327,71,32,4,526,3,2,1,2,0,5590,4,2,42131,42131,40,464,15335,1948.854
1,1,2,34,3,483,99,44,8,767,1,2.7,0,4,1,7695,6,2,56350,56350,62,606,20439,2832.951
0.5,1,2,18,1,237,48,27,4,346,3,1,0.3,4,0,3561,6,1,29294,29294,25,329,9603,1414.1432
1.75,2,1,55,3,759,172,102,10,1284,3,4.2,3,3,0,12390,5,2,104431,104431,107,1055,33714,4580.924
1.25,1,1,45,3,666,121,72,10,907,3,3.5,2.1,4,2,8974,5,4,72273,72273,72,882,23852,3906.5908
1.5,2,2,53,1,858,139,72,6,1047,2,3,0.4,4,3,12259,5,4,84677,84677,101,918,29213,4866.1478
0.5,2,2,18,2,275,44,28,4,360,3,1,0.9,3,2,3713,6,1,28084,28084,30,349,9877,1610.2466
1,2,1,35,3,575,96,49,4,742,1,2.9,0.5,2,0,8090,5,3,56169,56169,67,676,19421,3298.195
0.75,2,2,26,1,433,83,38,6,526,3,2.2,1,3,0,5317,3,3,39766,39766,42,456,14385,2449.2974
2.5,1,2,89,1,1355,273,116,17,1860,2,7.1,1.7,4,1,20133,4,1,146226,146226,135,1757,50668,7795.3746
1,1,2,32,3,529,86,51,7,753,2,2.9,1.4,4,3,7594,4,1,57930,57930,52,627,19898,3043.8818
1,1,1,37,3,458,94,58,7,734,3,2.4,0.9,3,1,7405,6,4,57679,57679,60,654,18989,2754.435
2.5,2,2,79,1,1273,256,101,19,1836,3,5.9,1.2,4,0,19825,3,1,142933,142933,154,1570,50850,7345.118
1.75,1,1,57,3,752,191,85,10,1274,1,3.9,2.5,3,0,13712,5,1,91127,91127,115,1083,33581,4560.9874
0.5,2,2,18,2,262,48,30,2,351,3,1,0.2,4,1,3468,3,3,25384,25384,34,354,9917,1571.8036
1.5,1,1,47,1,670,147,62,8,1054,2,3.6,0.8,2,1,11099,5,1,87130,87130,95,1028,28562,4036.7458
0.5,2,1,18,1,288,47,31,4,343,3,1.4,0.4,3,3,4021,5,3,29111,29111,30,339,10135,1667.4072
1.25,2,2,46,1,609,106,77,8,884,1,2.8,1.6,2,2,9104,6,3,71485,71485,74,846,25530,3612.7418
1.25,2,1,39,2,655,132,67,6,956,1,3,1.1,3,0,8647,4,1,67477,67477,75,870,24687,3831.4004
2.5,2,2,84,1,1095,271,112,17,1744,2,6.5,2.1,2,0,20124,6,3,143342,143342,157,1736,50283,6652.5808
0.5,2,1,18,3,222,42,30,2,370,3,1,0.2,4,3,3431,6,3,28474,28474,30,338,9904,1369.3962
0.5,2,1,18,3,210,41,25,3,352,2,1,0.7,3,2,3673,3,2,26044,26044,26,336,9419,1290.8996
1.25,1,1,45,2,628,103,60,9,946,3,3,1.3,3,1,8781,5,4,67529,67529,82,883,25362,3728.3962
2.5,1,1,87,3,1390,279,126,13,1801,3,5.1,2.9,2,2,19403,6,3,149980,149980,165,1649,50214,7976.3186
1.25,2,1,42,3,722,121,55,8,927,2,2.8,1.6,3,1,10158,3,3,66998,66998,78,840,23622,4113.3266
3,1,2,93,1,1734,285,148,22,2058,1,7.6,4.1,4,1,23271,4,2,178376,178376,151,2091,60724,9809.5782
1,1,2,36,2,443,106,59,5,700,1,2.9,0.1,2,0,7885,5,3,57162,57162,56,688,20264,2684.204
1.75,1,1,61,1,850,183,81,8,1330,3,5,2.7,4,3,12002,6,3,90393,90393,106,1143,33073,5023.2534
1,1,2,36,3,570,83,53,6,701,1,2.1,1.4,4,2,6945,5,2,52020,52020,55,656,20379,3248.518
1.5,2,2,48,1,654,162,74,12,1024,2,3.6,1.7,2,0,11402,5,4,79199,79199,93,1020,28764,3979.2224
1.75,2,2,60,1,868,197,88,12,1216,3,4.8,1.9,4,2,14150,3,1,100591,100591,99,1160,34128,5093.634
0.75,2,2,27,2,378,83,38,5,522,1,1.6,0.8,4,2,5448,6,4,42183,42183,40,524,14801,2231.9036
3,1,2,104,2,1370,251,141,12,2238,2,6.4,3.6,4,1,20811,3,1,153753,153753,179,1848,61305,8091.3952
2,1,1,70,3,1053,164,80,14,1529,2,4,1,2,3,15685,3,3,104316,104316,116,1322,38592,6024.257
1,2,2,31,3,487,90,42,5,716,3,1.9,0,4,1,7793,5,1,50455,50455,63,630,19775,2855.7446
2.5,1,1,83,3,1153,251,159,13,1904,2,6.6,1.1,4,1,18425,3,4,134227,134227,129,1775,50179,6918.152
1.75,1,2,59,3,850,196,103,10,1334,1,5.1,2.2,4,3,13210,6,2,99151,99151,115,1111,33060,5061.161
1.25,2,1,40,2,681,109,69,5,907,3,3,0.6,4,2,9490,4,3,68965,68965,63,790,25472,3873.275
1.25,2,2,43,2,531,134,61,7,936,3,3.4,0.3,4,1,9429,4,2,64981,64981,66,854,25290,3231.8188
1.5,2,1,50,2,752,160,72,12,1055,1,3.5,0.7,4,0,11216,5,1,88979,88979,79,980,28667,4361.0392
1,1,1,36,3,497,113,60,7,697,2,2.1,0.8,2,2,7140,3,3,51487,51487,66,667,19383,2948.188
2,1,2,65,1,1084,179,90,14,1453,3,5.1,2.6,4,0,13650,5,2,101814,101814,108,1317,39266,6193.24
3,2,2,102,3,1380,280,125,13,2122,3,6.5,5.4,3,0,20732,4,4,173267,173267,198,1895,58788,8210.9314
2.5,1,2,84,1,1113,210,146,12,1705,2,5.3,2.9,2,3,20470,4,1,140535,140535,150,1629,50617,6690.032
1.5,2,1,54,2,731,138,81,6,1027,3,4.3,2,2,1,11426,3,4,84899,84899,80,955,30405,4268.7182
0.5,2,1,18,1,283,53,27,4,354,1,1,0.8,4,0,3699,3,4,26156,26156,30,302,9699,1628.0108
0.5,1,2,18,1,213,43,27,2,350,1,1.2,0.4,3,1,3781,6,2,26435,26435,29,300,10028,1296.5272
1.25,1,2,40,1,537,128,68,7,934,1,2.8,1.6,2,3,8673,4,4,71939,71939,68,854,24299,3262.5786
2.5,1,1,91,2,1353,233,115,12,1818,3,6.7,3.5,2,1,19760,3,2,128267,128267,169,1601,49666,7798.767
0.75,2,1,27,1,389,64,36,6,559,1,1.6,0.6,2,2,5824,3,1,41242,41242,39,502,15051,2243.7128
2,2,2,66,1,1055,162,125,15,1421,3,5.5,1.3,3,2,14166,6,3,107587,107587,101,1412,37861,6120.8182
2,1,1,67,2,1030,211,90,11,1393,1,5.4,3.1,3,3,15031,6,2,115677,115677,112,1295,40524,5951.5962
1.5,1,2,52,1,721,153,94,8,1027,2,3.3,0.2,2,0,11079,6,2,86175,86175,93,930,29659,4242.8378
1.25,2,2,46,2,605,101,76,6,879,1,2.6,1.4,4,2,9070,3,2,68453,68453,65,771,25200,3537.542
1.75,1,1,63,3,929,155,99,14,1295,1,3.4,2.8,3,2,13677,4,2,94870,94870,117,1100,35245,5389.9224
1.75,2,2,61,2,800,189,76,9,1200,3,5,1.2,4,0,13266,4,3,102828,102828,119,1157,34529,4825.9412
0.75,2,2,25,1,357,68,41,3,552,2,1.5,1,3,3,5266,4,2,40572,40572,46,517,14690,2146.9862
0.5,2,1,16,1,287,41,30,3,376,3,1.3,0.4,2,2,3848,4,4,25201,25201,25,350,9500,1641.8796
2.5,2,1,89,3,1082,240,149,13,1791,3,7.4,1,4,1,17253,3,1,144433,144433,138,1719,47309,6587.7276
2,2,2,73,1,1034,190,121,10,1403,2,4.2,3.4,3,1,14625,5,1,106555,106555,101,1383,40189,6013.138
2.5,2,2,92,2,1064,223,155,11,1887,3,5.2,2.8,4,0,18146,3,1,128137,128137,156,1749,50121,6579.7442
1.75,1,1,64,2,831,167,96,12,1241,3,3.6,1.8,4,0,13263,6,3,96146,96146,117,1192,34682,4995.0206
2.5,1,1,87,3,1102,216,138,11,1744,3,5.6,2.1,2,3,17069,6,3,145355,145355,165,1577,49572,6643.9678
1,1,2,37,3,438,97,65,5,754,2,2.7,0.4,3,2,6954,3,1,50841,50841,59,603,19585,2641.3558
1.5,2,2,49,3,831,169,60,11,1026,1,2.9,2.1,2,1,10950,4,3,76709,76709,79,902,28254,4650.27
0.5,2,1,18,3,236,49,25,2,349,1,1.1,0.8,4,2,3992,3,4,29012,29012,29,324,10212,1422.4034
1.25,1,2,41,3,695,115,62,5,947,2,3,0.3,3,0,10142,4,3,69132,69132,77,835,23978,3984.6144
1.75,1,2,60,2,868,153,110,8,1213,3,3.7,2.4,4,1,11995,5,1,99880,99880,97,1112,33649,5080.349
0.75,1,2,25,1,376,83,37,4,571,2,2.2,0.5,4,3,5514,4,1,39537,39537,46,465,14270,2211.7038
1.25,1,2,39,1,724,106,76,5,906,3,2.9,1.9,3,1,9763,3,3,70647,70647,64,875,25410,4128.0006
2,1,1,68,2,1072,199,110,9,1472,2,3.8,1.3,4,0,14513,5,3,111066,111066,110,1232,37957,6103.0726
0.5,1,1,16,1,225,51,28,4,342,3,1.1,0.3,4,0,3903,4,3,28354,28354,26,311,9573,1355.9446
1,1,1,37,2,566,97,43,8,728,1,2.3,1.4,4,1,8008,5,3,50229,50229,56,632,20348,3210.6006
2.5,1,1,89,1,1173,219,120,11,1867,1,6.3,1.7,3,2,20228,4,2,143588,143588,156,1578,50863,6926.1256
2.5,2,1,81,3,1262,224,137,11,1905,1,5,1.5,4,3,19822,5,4,145536,145536,125,1749,47076,7340.7054
1.5,1,1,53,3,697,171,88,11,1022,2,3.2,2.1,4,2,11927,5,2,86251,86251,76,1028,28353,4160.9494
0.75,2,1,28,3,315,80,34,5,540,3,2,0.3,4,0,5927,5,3,38153,38153,38,520,14263,1932.7674
3,1,1,97,1,1294,310,139,17,2263,3,8.8,2.9,4,0,22604,6,2,159691,159691,192,1832,57196,7799.9078
1.25,1,1,40,1,538,121,66,8,891,3,3.2,2.1,3,0,9431,6,2,71339,71339,64,825,24896,3252.8842
0.5,1,1,18,1,213,50,29,2,369,2,1.1,0.7,2,1,3909,3,4,28072,28072,33,307,10000,1309.2388
3,2,1,102,3,1426,309,183,13,2104,1,6.7,3.8,2,3,22768,3,1,172010,172010,199,2045,60154,8562.1126
1.25,1,1,46,2,545,117,74,10,860,1,2.5,2.1,4,0,8931,3,3,73686,73686,82,766,23847,3320.5682
2.5,1,2,78,2,1227,232,112,14,1896,2,5.9,4.1,3,3,18082,3,3,137696,137696,142,1607,47045,7149.7324
1.5,1,2,55,3,836,158,71,12,1094,1,4.1,0,3,2,11296,4,3,81495,81495,97,965,30285,4778.5022
2,2,2,63,2,873,184,117,15,1526,2,5.7,2.3,4,2,14231,6,4,106511,106511,135,1206,40594,5303.6272
0.75,2,1,25,3,384,69,36,5,538,3,2,0.3,4,1,5613,6,4,40729,40729,47,529,14149,2279.3106
3,1,2,108,3,1377,251,141,22,2062,2,6,1.2,4,2,23839,3,3,179298,179298,196,1930,59323,8195.3608
2,2,2,64,1,899,183,116,12,1433,3,4.6,0.4,3,1,13957,6,3,102272,102272,110,1330,40274,5372.0394
0.5,1,2,17,2,215,40,30,2,375,2,1,0.5,2,0,3510,3,4,28542,28542,32,322,9619,1320.912
1.5,1,1,53,2,661,158,79,6,1116,2,3.9,0.4,2,2,11065,3,3,85058,85058,96,990,29749,4001.6
1.5,1,1,49,2,866,135,75,8,1150,2,4.2,2.6,3,1,11298,5,4,87699,87699,98,912,30741,4916.4946
1.5,1,2,47,3,708,148,91,8,1140,3,3.8,0.2,3,2,10540,3,4,85359,85359,78,1049,28764,4210.531
1,2,1,33,1,576,112,61,6,704,1,2.7,0.1,2,2,7686,4,4,59259,59259,56,682,19094,3283.2302
2.5,1,2,90,3,1306,229,148,14,1772,1,5.6,1.6,2,2,17514,4,2,125832,125832,150,1505,50880,7490.3268
1.75,1,1,64,3,967,194,88,13,1216,3,5.1,2.4,2,0,13420,5,3,90890,90890,93,1200,33185,5534.108
0.5,1,2,18,1,287,45,32,4,384,1,1.2,0.1,4,3,3884,3,1,29257,29257,32,327,10220,1667.5928
