Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1,1,2,300,1,300,200,75,6,880,2,0.5,3,3,2,6500,10,1,4350,4350,66,1745,4780,2678.995
1.75,2,1,467,2,505,343,165,12,1587,2,1.4,5.8,3,3,11619,7,2,7459,7459,126,3260,8019,4777.5288
2.5,2,2,762,1,857,514,173,12,2171,2,1,7.5,4,1,17600,7,3,12220,12220,162,4479,12548,7184.489
1.25,2,1,330,1,355,294,103,6,1070,3,0.4,4.1,2,2,7627,7,3,6062,6062,83,2347,6361,3351.1844
1.5,1,2,522,3,478,346,140,8,1277,2,0.9,4.9,4,3,9603,8,3,6159,6159,107,2599,6428,4201.1806
2,1,2,637,2,663,376,165,9,1785,1,0.4,6.3,4,1,12637,8,1,8554,8554,114,3472,9015,5574.5724
1,1,1,301,2,328,192,83,8,881,1,0.8,2.3,4,3,6475,8,4,4454,4454,66,1818,4960,2860.194
2.5,1,1,821,3,827,505,213,12,2113,2,1,5.7,3,1,16255,7,1,12366,12366,182,4636,11250,7223.7
1.25,1,1,350,2,338,259,115,10,1083,2,0.4,2.8,3,1,7688,10,4,5699,5699,74,2268,6184,3213.6126
2,2,1,673,1,571,458,131,16,1696,1,0.5,6.3,2,3,14155,8,1,9369,9369,145,3353,8611,5136.734
3,1,1,952,1,1049,646,252,16,2593,2,1.3,6.4,3,3,18967,11,3,13800,13800,209,5380,13849,8786.2494
1.75,1,2,586,3,601,382,132,12,1418,1,0.9,3.7,4,3,11257,8,2,7477,7477,113,3144,7307,5051.9074
3,1,1,939,1,991,633,234,18,2561,2,1.7,8,3,2,18669,7,3,12198,12198,197,5129,15150,8344.4158
0.75,2,1,244,3,239,132,53,6,680,2,0.6,2.3,4,2,5176,11,3,3531,3531,50,1286,3204,2073.6642
0.75,1,1,227,2,220,148,57,6,655,3,0.4,1.6,2,2,4617,7,3,3153,3153,50,1317,3571,1985.7244
2,1,2,555,2,661,464,177,17,1761,1,0.9,5.9,3,2,13516,7,2,8359,8359,131,3719,9189,5768.0642
2,1,2,616,2,563,349,171,9,1636,2,0.9,4.9,3,1,12209,8,2,9010,9010,133,3448,9048,5158.5448
1.25,2,2,412,2,351,282,102,10,1036,3,0.4,4,3,3,7711,11,4,5361,5361,73,2302,5957,3282.9282
1,2,2,324,2,349,216,66,8,826,2,0.8,3.1,4,2,6593,7,2,4735,4735,59,1835,4497,2928.9366
2.5,1,1,765,2,866,538,197,10,2169,3,0.5,7,4,1,17510,7,1,10667,10667,148,4337,12009,7129.203
2,2,1,590,2,597,367,136,11,1752,2,1.6,6.5,3,1,12654,8,3,8776,8776,121,3401,9638,5225.6788
2,2,2,643,1,571,358,136,12,1692,2,0.9,6.3,3,1,12681,11,3,8240,8240,114,3587,9121,5177.2442
1.5,2,1,448,1,496,325,121,13,1221,1,1,3.9,4,3,9675,10,3,7060,7060,96,2599,6887,4213.228
1,1,1,273,1,292,194,73,7,894,1,0.6,3,2,3,6823,11,1,4877,4877,73,1796,4281,2681.6336
2,2,1,638,3,548,367,136,13,1730,3,1.2,6.3,4,1,13862,7,3,9072,9072,144,3489,9867,5126.4204
2,1,1,537,3,551,388,185,9,1712,1,0.7,6.5,4,1,13698,11,1,8750,8750,117,3408,8343,5075.7646
0.75,1,2,228,3,230,180,69,6,632,3,0.4,1.8,3,2,4636,7,2,3132,3132,43,1245,3801,1999.0642
3,1,2,1013,2,976,525,206,25,2518,1,1.3,7.6,2,1,20627,11,2,13894,13894,211,5551,13644,8486.5034
2.5,2,1,795,1,712,512,205,16,2026,3,1.9,7.8,4,1,16649,7,2,12324,12324,154,4388,10868,6508.9948
1.25,1,1,437,1,415,278,90,7,1085,3,0.7,3.6,4,1,8514,11,3,5248,5248,73,2109,6070,3459.7328
0.75,1,1,201,1,212,172,50,4,624,3,0.3,2.1,2,1,5099,11,3,3561,3561,52,1371,3364,1981.1498
1.5,2,2,485,1,461,335,100,10,1307,2,0.6,4.1,3,2,10206,8,2,6701,6701,90,2649,6387,4025.5212
