Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
1,2,2,10,2,0,200,0,3,200,1,4,2,2,0,8000,8,5,12000,12000,72,5000,2640,3074
2.5,2,2,18,3,12,530,5.7,14,468,1,11,5.3,2,2,21469,7,3,26605,26605,133,13812,5766,8264
3,1,1,24,1,16,548,4.4,1,565,3,13,6.8,2,1,21923,9,4,35760,35760,152,13849,7414,8389
1,2,1,9,1,2,215,0.7,1,197,1,3,2.1,1,2,7756,6,3,12311,12311,69,5096,2979,3120
0.5,1,2,7,2,5,91,1.3,0,110,3,2,1.3,1,2,3705,6,6,6135,6135,36,2495,1568,1529
2.5,1,2,20,2,12,448,8.2,20,479,2,13,6.2,1,1,20316,8,4,32864,32864,120,11658,7960,7047
2,2,2,29,2,6,381,8.6,11,379,2,9,4,2,1,15587,9,6,26667,26667,139,9434,5343,5828
2,2,2,13,2,10,364,10,1,410,2,7,4.2,2,2,16842,7,3,26357,26357,144,11579,5931,6940
0.5,2,2,4,3,3,106,1.8,0,106,2,3,1,2,2,4009,8,4,6344,6344,30,2735,1574,1656
0.5,2,2,6,1,3,98,0.1,2,99,2,3,1.2,2,2,3582,9,6,5630,5630,35,2690,1558,1642
0.5,1,2,3,2,4,92,0.6,3,97,1,2,1.2,2,2,4100,9,4,5251,5251,39,2822,1348,1711
1.5,2,1,15,3,7,307,4.6,6,311,2,8,3.2,2,2,10823,5,5,16828,16828,87,8171,4217,4923
1.5,2,2,16,1,14,277,1.9,6,319,1,8,3.8,1,1,10503,6,5,17133,17133,119,7968,4395,4896
1,2,1,13,1,2,180,3.7,0,189,3,3,1.9,1,2,7944,8,5,13062,13062,77,5760,2834,3463
0.5,1,1,5,3,4,102,1.7,4,101,2,2,1.3,2,2,4211,6,6,5266,5266,32,2477,1338,1517
1.75,1,1,17,1,10,369,3,6,364,2,6,3.5,1,2,13182,9,6,21934,21934,89,8081,4896,4920
1,2,1,10,1,5,197,0.4,1,209,3,3,2,2,2,7669,8,6,12596,12596,64,5720,2794,3416
1.75,1,2,15,3,17,340,0.1,7,368,2,9,3.3,1,2,13169,7,6,21209,21209,95,9105,4268,5477
3,2,2,22,2,14,603,6.5,15,602,1,14,6.1,1,2,23205,5,4,31824,31824,225,15890,8288,9739
0.75,1,2,8,3,6,152,2.7,2,155,2,3,1.8,2,2,6213,9,5,8559,8559,51,3566,1889,2204
1,2,2,9,2,6,188,3.3,4,197,1,4,2,1,1,7022,9,4,12722,12722,80,5132,2936,3158
0.75,2,1,9,1,5,134,1.3,3,152,1,3,1.9,2,1,5674,5,5,7913,7913,51,4212,2032,2529
3,2,2,37,3,28,579,4,23,620,2,16,5.6,2,2,23458,7,3,36111,36111,227,16375,7457,9993
2,1,1,12,3,9,403,7.7,2,391,1,6,3.7,2,1,16458,8,4,21621,21621,117,10267,5855,6186
0.5,2,2,4,2,2,95,2.2,2,105,2,2,1.2,1,2,3885,9,4,6309,6309,39,2452,1260,1519
1.75,1,1,19,3,8,361,3.1,1,336,3,6,3.6,1,2,14165,8,3,18850,18850,99,9202,4262,5534
2.5,2,1,22,3,13,510,9.6,13,542,3,11,4.5,2,2,18575,5,6,27067,27067,136,11880,6488,7235
3,1,1,38,3,13,577,5.8,23,617,1,9,6.7,1,2,22181,8,4,36536,36536,227,16802,7659,10164
1.75,2,2,18,1,13,315,7.3,6,368,2,6,3.7,2,1,12659,7,4,19405,19405,95,8088,5426,4898
2,2,1,29,3,13,380,1.7,16,425,1,9,3.7,2,2,14571,7,4,21981,21981,124,10993,4877,6597
1.5,1,1,12,1,14,272,1.7,1,289,1,6,3.9,1,1,12312,6,6,16571,16571,99,7343,3850,4484
1.5,2,2,17,3,13,272,3,7,312,2,6,3,2,1,12493,5,6,19366,19366,116,7569,3621,4649
1.5,1,1,20,2,12,268,2.5,2,323,3,6,3.9,1,1,11664,8,3,17699,17699,87,7917,4267,4745
2,1,1,22,2,7,361,0.9,5,431,1,9,4.6,2,1,16658,9,5,25843,25843,151,9581,5617,5931
3,1,2,45,1,18,596,2.5,17,606,3,16,7.8,2,1,24915,9,5,35450,35450,154,14408,8540,8764
1.25,1,1,8,2,5,258,4.2,3,256,2,6,3.2,1,1,8878,5,6,16306,16306,96,6547,3212,4039
1.25,1,1,8,1,7,225,5.7,7,249,2,6,2.4,2,2,9796,5,5,14394,14394,98,5991,3038,3718
0.5,1,1,4,1,2,92,0.5,2,103,3,2,1,1,1,4053,9,6,6702,6702,27,2862,1350,1692
0.5,1,1,7,2,3,102,1.6,1,105,1,2,1.1,1,2,3888,5,6,6215,6215,36,2687,1222,1638
1.25,1,1,12,2,9,233,4.1,0,256,3,5,3.2,2,2,10332,9,3,15222,15222,86,6948,3179,4188
1.25,1,1,17,1,12,226,4.1,6,274,2,6,2.4,1,1,10405,6,6,13570,13570,91,6680,3415,4059
1,2,1,8,1,6,208,1.8,5,204,1,4,2.5,2,1,8420,5,6,10720,10720,73,5568,2685,3387
3,2,2,24,3,14,541,14.3,20,579,1,11,6.1,2,1,21387,9,5,38570,38570,159,14407,8443,8674
0.5,2,2,6,1,4,101,2.1,3,95,3,2,1.3,1,1,3790,9,5,5619,5619,33,2619,1343,1594
2.5,2,2,27,3,14,459,0.5,9,481,2,11,5.1,1,2,19170,9,4,33702,33702,153,13834,6360,8277
3,2,1,27,2,25,577,2.3,7,564,3,15,6.4,2,1,24180,8,3,36099,36099,219,14176,9029,8808
1,1,1,15,1,6,198,1,3,212,1,5,2.2,2,2,7719,5,5,11874,11874,79,4952,2397,3079
1.5,1,2,10,3,14,306,5.7,10,296,3,7,3,2,1,12593,5,3,19981,19981,74,8293,3686,4935
3,2,1,37,2,8,578,11.2,3,632,2,13,7,2,2,21696,5,6,31908,31908,185,15695,7544,9489
2,2,2,26,1,14,365,0.8,7,388,2,6,4.2,2,2,15493,8,3,21232,21232,155,9770,4856,6016
1.25,2,2,16,3,8,231,3.9,7,241,3,5,2.3,2,1,8754,5,3,16622,16622,76,6947,3220,4147
1.75,1,1,21,3,15,315,2.8,10,341,3,9,4.5,2,1,15008,6,5,18595,18595,132,8619,5117,5326
1.75,2,2,23,1,16,374,8.7,2,368,3,9,4.2,1,1,13405,5,3,22841,22841,131,9453,4621,5808
1.75,1,2,18,3,11,321,2.8,10,351,1,6,3.3,2,1,13259,6,6,21059,21059,133,9188,5305,5597
3,2,2,21,2,13,535,6.6,3,625,3,14,7.1,1,1,22834,8,6,39708,39708,198,17265,7157,10328
2,2,1,26,2,7,375,2.7,14,420,2,10,4.8,2,2,14249,6,4,22039,22039,109,10051,5186,6069
1.25,2,1,18,1,6,239,3.1,3,243,3,4,2.6,1,2,9972,6,6,13268,13268,72,6346,3511,3820
0.75,2,2,8,1,3,143,1.2,3,157,1,3,1.5,1,2,5873,6,4,9861,9861,59,4348,2110,2630
1.75,2,2,12,1,9,345,2.5,1,375,2,9,3.6,1,2,13147,5,5,21426,21426,116,9000,4664,5494
0.75,2,2,11,3,5,153,1.6,1,146,2,3,1.8,2,1,6100,5,5,9384,9384,53,3719,2345,2291
2,1,1,27,3,9,410,1.8,1,396,1,10,5.1,1,2,16351,5,4,24221,24221,147,11554,4892,7009
1.25,2,1,12,2,9,260,2.6,8,252,1,6,2.7,1,1,9164,5,6,13571,13571,61,6330,3639,3813
1.75,2,2,26,2,10,355,2.4,10,337,2,8,4.5,2,1,13315,9,6,23331,23331,96,8643,5428,5251
1.5,2,2,15,3,10,305,7,4,301,3,8,3.8,2,2,11950,6,5,18181,18181,90,7752,4347,4716
0.75,1,1,7,2,5,146,1,3,143,3,4,1.4,1,1,5336,6,6,8338,8338,54,3992,2196,2437
