Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1,1,2,150,1,250,200,75,10,675,2,5,2,5,0,9000,4,1,2500,2500,23.5,236,2250,1448
1.5,1,1,213,1,361,305,126,14,961,1,6,3.4,6,0,14640,5,3,3685,3685,33,429,4122,2134
2.5,1,1,354,1,640,499,151,25,1627,1,10,6.6,5,0,20474,6,1,6203,6203,70,666,5723,3756
1.25,2,1,179,2,296,264,91,13,772,3,6,3.3,4,2,10841,6,3,3161,3161,32,268,3280,1740
0.5,2,2,78,2,122,92,28,4,333,3,3,1.2,6,2,3958,4,3,1338,1338,14,138,1033,735
2.5,1,2,353,3,608,484,186,31,1621,2,13,4.9,4,1,22918,3,3,7125,7125,59,590,6082,3547
2,2,2,282,3,532,384,124,23,1374,1,9,4.7,5,2,17379,3,3,5157,5157,41,572,4250,3072
0.5,1,1,81,2,134,103,41,5,321,2,2,1.2,6,1,3690,5,1,1239,1239,11,113,1435,758
2,1,2,289,2,554,342,157,27,1384,3,10,5.1,6,0,19889,3,2,5012,5012,47,576,5650,3211
1.75,2,2,283,2,479,354,134,21,1096,1,6,4.7,4,1,15541,6,2,4511,4511,36,499,3708,2741
2.5,1,1,371,1,654,509,180,21,1728,2,13,7,5,2,20552,5,2,6635,6635,58,713,7049,3854
1.5,2,1,211,3,351,319,106,17,995,3,7,4.4,4,0,13831,5,2,4295,4295,36,403,4355,2111
1.5,2,2,247,2,385,305,126,15,1045,1,7,4.2,5,2,10503,3,2,4040,4040,32,398,3052,2246
1.5,2,1,232,3,393,302,86,12,968,3,7,2,5,0,12311,5,3,3617,3617,40,325,4287,2227
1.75,2,1,274,2,487,354,128,16,1175,2,7,2.8,6,0,16435,4,3,4945,4945,50,486,4651,2793
2,2,1,319,1,460,365,149,25,1330,2,8,3.7,6,2,14609,4,3,5000,5000,56,437,4621,2693
1.5,1,1,244,3,348,305,95,16,902,2,8,4.2,4,1,12636,3,1,3787,3787,32,332,3605,2052
1.75,2,1,286,3,457,337,116,15,1186,1,9,2.6,4,0,13163,3,3,4910,4910,48,473,4885,2661
1,2,1,143,1,265,173,81,13,671,3,5,2.6,6,0,7219,6,3,2672,2672,22,216,2379,1509
0.75,2,1,122,2,202,129,42,9,525,3,3,2.1,4,2,6965,4,2,2043,2043,22,214,1717,1183
2.5,1,1,363,1,631,462,186,30,1664,3,12,6.2,6,2,21545,3,3,6787,6787,59,626,5006,3678
3,2,2,457,3,768,573,201,30,1808,2,15,4.6,6,1,23558,6,1,7944,7944,77,849,7382,4493
1.25,2,1,194,3,338,228,90,12,819,2,5,2.2,5,1,10615,3,3,2958,2958,25,282,2739,1883
2,2,2,307,3,487,385,128,15,1219,1,8,2.7,6,2,18616,6,3,5150,5150,58,466,5254,2820
1.75,1,1,288,2,446,374,109,16,1102,3,9,3.3,6,2,16384,4,1,4695,4695,46,450,3706,2607
2,1,2,293,2,510,370,125,20,1384,2,9,6.1,4,1,18534,4,3,5367,5367,53,559,5689,3025
1.25,2,2,181,1,330,220,88,15,830,3,6,3.8,5,2,11882,4,2,3460,3460,36,340,2513,1950
0.5,1,2,74,2,134,96,30,5,304,1,2,1.5,6,2,4714,5,3,1257,1257,14,112,1220,770
1,2,1,145,1,236,205,64,8,676,2,5,2.9,4,1,7159,3,3,2626,2626,27,288,2453,1437
1.25,2,2,181,2,343,243,87,10,865,1,5,2.9,6,1,11234,4,1,3125,3125,31,281,3641,1936
1.5,1,2,216,3,414,306,85,15,982,2,7,3.1,6,0,12092,4,3,4153,4153,34,411,4297,2368
1.5,1,1,235,3,373,301,126,18,983,3,6,4.6,4,1,10864,4,1,3696,3696,40,433,3648,2231
0.75,1,1,118,2,188,134,50,9,509,1,3,1.9,5,2,6247,4,3,1832,1832,20,213,2068,1111
1,1,2,149,3,239,175,69,8,671,3,4,2.8,5,2,9961,3,1,2640,2640,21,258,2942,1402
2,1,2,305,3,537,361,158,26,1375,1,11,5.3,4,0,17101,3,2,5322,5322,51,458,5457,3099
1.25,2,2,196,3,291,253,104,15,861,2,5,1.9,6,1,12314,3,2,3049,3049,32,331,3173,1718
1.75,2,2,284,1,431,320,129,15,1107,1,6,3.9,4,1,12756,5,3,4471,4471,41,392,4010,2464
1.25,2,1,190,3,293,225,101,14,821,1,6,3.5,4,0,10267,3,1,3093,3093,28,318,2861,1742
1.75,1,2,263,3,458,337,146,21,1132,2,9,4.9,5,1,15088,4,2,4335,4335,37,483,4867,2678
1,2,1,152,2,243,187,61,10,686,2,4,2.7,4,0,9607,6,1,2396,2396,20,281,2960,1427
1.25,1,1,191,2,335,248,96,16,868,2,5,3.1,4,1,10076,6,3,3416,3416,31,337,3486,1935
0.5,1,2,75,2,127,103,32,5,332,2,2,0.7,5,1,3951,4,3,1263,1263,13,130,1039,732
1,1,1,142,2,253,201,62,8,692,1,4,2.9,6,1,9565,6,3,2649,2649,24,272,2260,1485
2.5,1,1,392,3,650,478,209,26,1725,3,10,6.2,4,2,18417,3,2,6488,6488,55,624,6007,3731
1.25,2,2,198,1,299,245,97,9,755,1,5,2.1,4,0,12330,3,2,3326,3326,28,283,3654,1717
1,2,1,160,1,270,172,68,11,684,3,4,2,6,1,8552,4,2,2725,2725,20,274,2201,1533
1.75,1,1,278,1,436,348,138,20,1062,3,8,4.8,4,1,16824,6,3,4570,4570,46,490,4383,2598
2,2,1,294,1,550,392,128,17,1313,2,10,4.5,6,0,15984,5,2,5042,5042,48,517,5927,3154
2.5,2,2,390,2,621,503,192,27,1573,1,12,5.7,5,0,21772,5,2,6568,6568,73,694,6625,3709
0.75,1,1,115,1,178,142,57,9,491,2,4,1.3,5,0,5745,6,3,1725,1725,16,167,1877,1032
2,2,1,300,3,528,383,125,21,1300,1,7,3.5,5,1,15082,5,1,5542,5542,41,423,5169,2930
1.5,2,2,231,2,417,268,123,16,1024,3,8,4.6,6,2,10731,3,1,4201,4201,38,372,3477,2411
