Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1,1,1,100,1,100,50,0,0,250,1,1,2,2,0,5000,3,1,1800,1800,60,4200,9000,2956
1.5,2,1,171,3,157,100,7.2,17,362,3,1.5,4,2,1,6467,4,2,2609,2609,81,11940,13490,7502
1.25,2,2,157,1,130,75,2.8,4,272,2,1.1,3.4,1,2,5944,2,1,2642,2642,74,9867,11159,6222
1.25,1,2,145,2,117,72,2.4,4,350,2,1.1,2.2,1,1,6735,2,2,2380,2380,87,8927,11439,5676
0.75,2,1,91,1,81,49,1.1,4,200,1,0.5,1.8,2,2,3820,3,1,1335,1335,38,5248,6862,3358
1,2,1,116,2,102,57,4.3,0,259,1,0.9,1.9,1,2,5296,2,1,1802,1802,57,8015,9183,5014
0.5,1,2,48,3,50,24,0.8,5,123,2,0.4,1.3,1,1,2360,3,2,832,832,34,4070,4461,2558
3,1,2,306,3,347,169,7.3,38,641,2,2.8,5.5,2,2,12218,4,1,6041,6041,168,24656,26795,15544
1.75,1,2,201,2,192,101,4.4,16,451,3,2.1,3.1,2,2,7633,2,1,3760,3760,121,11438,15728,7505
0.75,1,2,64,2,86,36,2.6,5,204,3,0.8,1.6,2,1,3190,4,1,1488,1488,39,5366,6691,3447
0.5,2,2,57,3,57,23,0,5,128,3,0.4,1.2,2,2,2265,4,2,903,903,36,2701,4585,1855
1,2,2,104,1,108,63,2.8,8,201,2,1.2,1.6,2,1,5236,4,2,2132,2132,58,5918,9031,3910
2,2,1,219,3,224,84,8.8,18,566,3,2,3.9,2,1,8262,2,2,4050,4050,117,12057,18028,7983
0.75,2,2,65,3,75,47,1.3,0,193,2,0.7,1.5,2,1,3313,3,2,1463,1463,36,6018,6702,3738
2.5,1,2,223,2,262,161,0.5,9,673,1,3,4.4,1,1,10665,4,2,4922,4922,135,23726,22445,14537
2,2,1,221,3,243,95,2.5,26,402,1,2.7,3.3,1,2,8452,2,1,3611,3611,109,15497,18482,9900
0.75,2,2,69,3,80,48,2.6,7,171,3,1,1.2,1,1,3556,3,1,1397,1397,45,6739,6717,4176
