Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
1,1,2,1000,1,400,150,100,10,6600,2,8,2,6,10,9000,4,1,60000,60000,15,9622,1905,
0.5,2,2,473,2,218,87,62,5,2907,3,4,1.1,5,11,4799,5,1,28538,28538,7,4715,944,
0.75,2,2,701,1,281,130,80,9,5158,2,6,2,6,10,6147,4,2,44343,44343,10,6925,1431,
1.25,1,1,1261,1,474,163,154,12,7034,3,9,2.3,5,12,11421,4,1,70967,70967,21,11956,2507,
1.25,2,2,1081,1,529,191,131,10,8300,2,10,1.8,4,12,10271,3,4,77300,77300,22,11963,2637,
0.5,1,2,409,1,185,90,57,6,3080,3,4,0.8,6,9,4739,4,2,29191,29191,8,4858,1084,
3,1,2,2572,1,1159,536,316,37,21520,3,22,5.4,7,11,25688,3,4,186619,186619,45,28581,6497,
3,1,1,3103,2,1193,435,317,26,17783,1,24,8.1,6,9,24326,5,2,189698,189698,39,27627,6487,
2,2,2,2037,3,837,333,215,24,13215,1,15,4.8,5,9,17415,6,4,130420,130420,28,19129,3795,
2.5,2,1,1881,3,894,376,303,21,16365,1,18,5.2,7,9,21124,3,4,149724,149724,38,23817,4929,
0.75,2,2,851,1,298,133,92,8,4637,3,6,1.1,5,11,6087,6,1,48791,48791,13,6921,1643,
2,2,2,1679,1,891,301,214,25,13461,2,15,3.3,6,12,18443,5,2,117421,117421,32,18848,3994,
0.5,1,1,405,2,210,87,62,6,3027,3,4,0.9,7,10,4599,6,2,31699,31699,6,4707,1082,
3,2,1,3535,3,1253,393,291,31,17523,3,24,4.3,5,10,26205,6,4,173138,173138,44,28473,5934,
1.75,2,1,1760,1,682,240,140,19,10308,2,13,2.3,6,12,16116,6,4,110407,110407,21,17246,3744,
0.5,2,1,580,1,207,79,51,4,3519,2,4,0.8,5,9,4785,2,4,29576,29576,7,4776,1031,
