Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
1,1,2,4,1,350,200,150,10,710,1,6,3,6,0,10000,4,4,60000,60000,2900,20600,14550,22096
3,1,1,27,2,1072,546,288,28,1981,1,20,11.7,7,1,29170,7,4,176207,176207,6551,62320,44322,59721.794
1,2,1,4,2,341,201,114,12,697,3,6,3.5,7,1,9100,7,3,53533,53533,3118,19896,14998,22317.98
2.5,2,1,10,3,831,432,297,24,1723,3,15,10.3,4,1,23713,7,3,139359,139359,7569,49867,37578,55006.3626
2,2,2,14,3,671,358,196,19,1348,1,12,9.6,6,1,21183,5,4,120564,120564,7042,40947,28512,47656.8566
1.25,1,2,7,1,553,266,106,15,916,3,8,5.3,6,2,11934,7,5,67822,67822,3307,25029,18726,26663.7668
1.25,1,1,7,3,466,222,115,10,855,3,8,4.4,7,1,13396,4,2,67152,67152,3473,24734,18779,26634.9792
1.75,1,2,14,2,659,356,169,15,1276,1,11,8,4,2,19236,6,3,95246,95246,5115,36114,25100,38906.3272
2,1,1,4,2,866,406,199,21,1528,2,14,7.6,4,1,20460,5,4,111221,111221,6905,40169,28575,47685.412
3,1,2,21,3,1288,515,364,38,2080,1,18,14.2,7,1,31213,7,3,183642,183642,10548,64493,44253,74447.9426
0.75,1,2,5,2,318,133,63,8,572,1,4,3.1,5,2,7626,7,2,42209,42209,2433,15284,10976,17477.2652
2.5,2,1,16,3,921,511,214,28,1872,2,16,9.1,6,2,22898,5,4,137920,137920,7969,51654,37998,57530.5796
