Cultivated area (hectares),Mixed tillage (Frequency),Other operations(Frequency),Seed(Kg),Seeding(Frequency),Urea chemical fertilizer (kg),Phosphate chemical fertilizer (kg),Potash chemical fertilizer (kg),Micronutrients(Kg),Carrying fertilizer and seeds (kg),Fertilizing(Frequency),Insecticide (liter),herbicide (liter),spraying(Frequency),cultivator(Frequency),Water Consumption(m3),Watering(Frequency),Harvesting(Frequency),Loading and unloading (kg),yield per hectare,Fuel consumption(lit),Electricity Consumption(kwh),Total of Carbon emission(calculated manually)(kg co2-eq),Carbon emission_Cool Farm Tool
1,1,1,30,10,300,150,50,10,760,1,6,2,6,0,8000,4,2,55000,55000,288,257,2537,2586.94
3,2,2,101,1,826,426,118,42,2271,3,18,5.8,5,1,24770,7,3,170232,170232,822,749,7868,7158.774
1,1,2,31,2,284,125,53,11,765,3,6,2.2,6,2,8004,7,3,56143,56143,301,270,2513,2566.2208
1,2,2,29,2,276,145,40,8,731,1,5,2.3,5,2,7393,7,2,55667,55667,305,263,2560,2508.3186
2,1,1,49,2,715,335,110,16,1400,2,12,4.1,6,2,14225,7,3,113693,113693,586,496,5734,5696.005
0.5,2,2,12,3,142,82,23,6,352,2,3,1,5,2,3658,4,2,28162,28162,131,122,1368,1223.0516
1.75,1,1,58,3,544,214,104,24,1278,1,10,3.3,6,2,14404,3,4,94765,94765,480,463,4408,4529.8608
1.5,1,1,44,2,445,245,76,18,1068,1,10,3.4,5,2,12154,5,3,85415,85415,457,352,3595,3910.1908
0.5,2,1,13,1,136,71,22,6,379,3,3,0.9,7,1,4131,7,3,28287,28287,133,125,1390,1212.6662
0.75,1,2,23,2,244,105,34,6,529,1,5,1.7,6,1,6005,6,3,40051,40051,197,173,1899,1966.601
1.5,2,2,42,1,428,238,53,15,1190,1,9,3.8,7,1,10597,5,3,82374,82374,455,387,3520,3820.8194
0.5,1,1,16,2,152,62,29,4,353,3,3,0.9,7,2,4013,3,2,26233,26233,147,127,1425,1338.3826
2,1,2,67,3,683,265,78,23,1420,2,14,4.9,7,2,15658,4,2,104938,104938,613,464,5373,5603.1316
0.5,1,2,12,2,141,77,21,4,369,2,3,1.2,5,2,3762,3,3,27133,27133,140,129,1401,1249.3324
1.25,1,1,31,1,373,183,70,16,905,2,7,3.1,7,1,9548,4,3,67249,67249,350,329,3036,3205.4696
2,2,1,70,3,718,317,120,26,1518,1,13,4.3,5,1,16977,7,3,113953,113953,590,511,5132,5748.1554
0.75,2,2,24,2,268,114,35,9,525,2,4,1.5,7,2,5536,4,3,39396,39396,215,193,2231,2138.5072
3,1,2,101,2,887,464,128,43,2192,2,18,5.9,7,1,23589,4,4,157625,157625,919,782,8223,7784.1578
3,2,1,73,1,1062,429,110,44,2234,3,20,7.8,6,2,22698,7,4,158880,158880,806,777,8308,8224.7996
0.5,2,2,13,2,143,83,19,6,382,2,3,1.1,5,1,3889,5,2,28365,28365,132,123,1396,1226.9978
1.75,2,2,55,1,626,250,74,19,1367,1,12,4.4,7,1,13882,7,4,99367,99367,486,428,5136,4898.8964
0.75,1,2,22,2,260,122,28,11,548,3,5,1.8,7,2,6166,5,2,41209,41209,220,188,1830,2119.1332
2,1,1,66,2,604,312,113,19,1548,1,12,4.9,7,1,16897,3,4,113027,113027,601,497,5594,5258.3394
0.5,2,1,17,3,136,66,25,5,353,2,3,1.1,6,2,4073,6,2,26096,26096,144,131,1289,1249.8346
1,1,2,32,2,277,156,48,9,762,2,6,2.4,7,1,7971,6,2,53496,53496,272,238,2978,2430.5942
3,1,2,99,2,818,435,139,33,2321,2,18,6.9,6,2,24203,6,3,163923,163923,893,792,8887,7413.1006
0.5,1,2,16,2,142,68,29,5,395,1,3,1,7,2,3567,4,3,26021,26021,148,127,1363,1297.6934
2,2,1,60,3,559,328,102,28,1505,2,12,4.8,5,1,16453,6,2,108843,108843,533,475,5324,4804.3506
1,1,1,32,2,341,165,35,12,782,3,5,1.8,6,1,8343,3,2,53338,53338,299,261,2963,2778.4086
2.5,2,1,66,2,822,302,91,37,1975,3,15,6.1,5,1,19966,4,2,132418,132418,719,606,6725,6669.5532
1,2,1,36,3,357,168,40,14,705,1,6,2.2,7,1,8289,3,3,54294,54294,301,253,2614,2879.0778
2.5,2,1,79,3,738,352,115,22,1934,2,17,5.9,7,1,18700,3,4,139157,139157,717,658,5829,6376.62
3,2,2,108,2,1009,494,159,32,2119,1,19,7.3,5,2,21226,3,4,165909,165909,813,727,8296,8030.1452
1,1,2,33,3,317,161,59,15,799,3,5,2.5,5,1,7241,7,3,55357,55357,294,245,2909,2678.3082
0.5,2,1,13,1,141,80,19,6,376,1,3,1.2,7,1,3812,4,3,27577,27577,143,131,1360,1269.3424
2.5,2,1,86,3,809,410,127,20,1956,3,13,4.6,5,1,20045,6,2,137597,137597,744,623,7349,6720.869
0.75,1,2,23,2,201,93,41,8,566,2,5,1.8,7,1,5706,5,2,41619,41619,199,181,1962,1798.1612
3,2,2,108,2,984,476,177,43,2292,1,20,7.6,7,2,25392,5,4,158398,158398,911,710,7002,8261.7384
1.25,1,2,45,2,365,155,60,14,957,1,7,3.2,5,1,9698,7,2,68368,68368,356,333,3043,3163.5796
0.75,2,2,20,3,267,127,27,7,566,3,4,1.6,6,1,5300,5,4,40997,40997,221,182,2185,2132.04
1.75,1,1,61,1,562,232,103,21,1331,2,10,3.4,6,2,14492,3,2,91144,91144,488,445,4875,4627.5784
1.25,2,2,31,2,423,207,60,16,899,1,7,2.3,7,2,8848,3,4,70618,70618,375,327,3204,3488.7696
1.5,1,1,50,2,438,216,81,19,1064,3,9,3.4,6,1,11794,3,4,85460,85460,404,373,3868,3725.3388
1,1,1,26,2,281,139,56,10,741,2,7,2,5,2,8396,6,4,55963,55963,281,234,2352,2477.5392
1.5,2,1,49,1,405,237,64,13,1138,3,10,3.6,5,2,11900,5,3,81042,81042,458,370,4197,3727.46
2.5,1,2,78,2,765,411,119,28,1904,3,13,6,7,2,19257,7,2,137328,137328,707,578,7275,6397.4514
0.75,2,2,24,3,261,110,31,9,553,1,4,1.7,5,2,5954,3,2,42351,42351,221,179,2169,2102.4308
2.5,2,2,70,3,775,335,126,20,1916,3,13,4.7,5,2,19587,7,3,140310,140310,651,652,6213,6286.2574
2,2,2,72,3,643,337,99,20,1474,2,13,3.8,6,2,16273,5,2,105005,105005,570,504,5134,5317.2946
1.75,1,1,56,1,590,220,72,24,1389,1,11,3.6,5,1,14697,5,3,95201,95201,457,450,4753,4623.1594
1.5,1,1,37,1,471,244,55,12,1103,2,8,3.5,7,1,11361,6,4,78014,78014,437,356,4287,3933.0922
1.5,2,1,42,3,534,209,71,17,1195,1,10,3.3,5,1,12163,5,4,85118,85118,431,357,3615,4223.4726
0.5,1,2,15,2,164,60,23,7,375,3,3,0.9,7,2,4270,6,3,27063,27063,141,115,1308,1359.274
1.75,2,2,48,1,575,296,72,18,1389,1,9,3.3,6,2,14470,4,2,96178,96178,500,470,4676,4690.354
1.75,1,1,53,1,627,235,91,22,1306,2,12,4.2,6,1,13840,7,2,92657,92657,486,437,5186,4921.848
2.5,2,1,64,3,777,341,113,24,1752,3,13,5.5,6,1,20628,7,3,137474,137474,756,627,6688,6606.6656
1,1,1,27,2,310,169,56,12,754,3,6,2,5,2,7555,3,4,55361,55361,270,238,2536,2569.191
1.75,2,1,49,1,486,252,98,25,1308,3,11,4.2,5,2,14158,4,4,91023,91023,470,408,4026,4214.2516
1.5,1,1,40,1,488,192,65,21,1177,3,8,2.9,6,2,12198,6,2,79893,79893,393,378,4165,3881.9396
2,2,1,69,3,709,286,97,22,1467,1,13,4.8,5,2,14821,3,2,107035,107035,548,486,4987,5534.2042
1.75,2,1,49,1,569,220,63,19,1251,1,11,3.8,7,2,14302,5,4,92662,92662,531,415,4271,4742.0804
2.5,1,1,69,2,808,405,110,25,1875,3,17,5.1,5,1,20708,3,2,137067,137067,748,619,6250,6746.6216
0.75,1,2,20,1,230,121,45,11,592,3,5,1.9,5,1,6151,6,3,40530,40530,217,202,1870,1993.4302
