Cultivated area (hec),Tillage (frequency),Operations (frequency),Seed (Kg),Seeding (frequency),Urea (kg),Phosphate  (kg),Potash (kg),Micronutrients (Kg),Carrying (kg),Fertilizing (frequency),Insecticide (lit),Herbicide (lit),Spraying (frequency),Cultivator (frequency),Water (m3),Irrigation (frequency),Harvesting (frequency),Loading & unloading (kg),yield (kg),Diesel (lit),Electricity (kwh),Calculated carbon emission (kg co2-eq),Carbon emission-CFT (kg co2-eq)
1,1,2,1,1,150,100,50,10,400,2,2,0,2,5,4000,5,20,50000,50000,38,257,5500,972.58
1.75,2,1,5.4,3,230,167,106,14,652,3,3.8,1.7,3,6,7401,5,20,84738,84738,67,1396,10143,2100.8302
1.5,2,2,5.5,3,208,148,83,15,593,2,4.4,1.7,2,3,6664,7,19,79267,79267,54,2649,7454,2640.2428
2.5,1,2,7.2,2,346,203,122,27,1091,2,6.8,0.4,2,6,9694,7,20,131965,131965,88,1379,13222,2699.6788
0.75,2,2,2.7,3,131,73,44,6,312,3,1.7,0.5,4,3,2572,6,19,36685,36685,27,872,4365,1186.3044
2,1,1,4,3,296,208,128,22,817,1,5.6,0.5,2,6,8355,4,19,99374,99374,71,3676,11281,3649.941
0.75,1,1,2.4,2,116,81,31,5,298,1,1.7,1,3,4,3470,6,19,36252,36252,29,1562,4203,1504.814
1.5,1,1,1.5,1,234,124,78,12,651,1,3.8,0.6,3,4,5667,4,18,79313,79313,59,1528,8386,2140.0934
1.75,1,1,3.1,1,290,162,79,19,726,3,5.1,1.9,2,6,6308,6,21,82359,82359,67,4019,9536,3802.9716
3,1,1,11.7,3,513,251,160,29,1179,1,7.2,0.9,3,4,13370,6,20,145635,145635,114,5328,17314,5689.604
1.5,2,1,5.1,3,240,132,91,21,586,1,3.2,0.2,3,5,6283,6,21,73130,73130,56,2861,7642,2866.4966
0.75,2,2,2.5,2,112,64,36,9,296,1,2.2,0.8,3,6,3492,6,19,37314,37314,26,1168,4344,1266.4184
1.75,1,2,5,2,239,165,87,17,734,3,4.1,0.5,4,6,7404,4,19,88028,88028,64,2042,8607,2462.2908
0.5,1,1,0.6,3,66,48,20,5,210,2,1.3,0.6,4,6,2244,6,20,24611,24611,19,818,2633,830.6088
1,1,1,2.1,3,165,111,64,12,446,1,3,0.7,3,6,4497,5,18,52060,52060,35,1391,5519,1669.2494
0.75,2,2,1.6,2,115,75,43,5,314,2,1.6,0.9,2,3,3002,6,19,38350,38350,28,1711,4180,1575.7104
0.75,2,1,2.7,1,113,65,33,10,305,1,1.7,0.4,4,4,2736,6,19,35493,35493,28,924,3776,1132.5472
2.5,2,2,7,2,435,252,152,19,901,1,6.6,1.6,4,4,10939,7,20,123266,123266,96,984,14237,2938.7078
1.5,1,2,5.8,2,200,166,75,15,636,2,4.3,1.8,2,5,5693,5,20,71670,71670,58,3096,8841,2858.6386
0.75,1,2,1.9,3,110,80,33,8,320,3,2.1,0.4,4,6,3173,5,17,39504,39504,28,1174,3818,1259.9146
1.5,2,2,5.6,3,235,169,83,13,653,2,4.4,0.6,2,5,6189,5,18,77919,77919,55,1147,8289,1937.7378
1,1,1,1.3,3,179,111,54,13,404,1,1.9,0.1,3,4,3966,4,20,48602,48602,37,867,5087,1431.8032
1.75,1,1,4.7,3,213,183,88,17,730,2,3.5,0.3,3,3,6751,5,21,90001,90001,64,1254,8854,1910.4202
1.5,1,1,3.1,1,265,152,85,11,641,2,3.7,1.4,4,4,6447,7,19,72092,72092,58,3345,7784,3273.5694
