Cultivated area (hec),Seed (Kg),Urea (kg),Phosphate (kg),Potassium (kg),Nitrogen (kg),Insecticide (lit),Water (m3),Irrigation frequency,Yield (kg),Fuel (lit),Electricity (kwh),Calculated carbon emission(kg co2-eq)
1,1000,400,150,100,6600,8,9000,4,60000,15,9622,1905
0.5,473,218,87,62,2907,4,4799,5,28538,7,4715,944
0.75,701,281,130,80,5158,6,6147,4,44343,10,6925,1431
1.25,1261,474,163,154,7034,9,11421,4,70967,21,11956,2507
1.25,1081,529,191,131,8300,10,10271,3,77300,22,11963,2637
0.5,409,185,90,57,3080,4,4739,4,29191,8,4858,1084
3,2572,1159,536,316,21520,22,25688,3,186619,45,28581,6497
3,3103,1193,435,317,17783,24,24326,5,189698,39,27627,6487
2,2037,837,333,215,13215,15,17415,6,130420,28,19129,3795
2.5,1881,894,376,303,16365,18,21124,3,149724,38,23817,4929
0.75,851,298,133,92,4637,6,6087,6,48791,13,6921,1643
2,1679,891,301,214,13461,15,18443,5,117421,32,18848,3994
0.5,405,210,87,62,3027,4,4599,6,31699,6,4707,1082
3,3535,1253,393,291,17523,24,26205,6,173138,44,28473,5934
1.75,1760,682,240,140,10308,13,16116,6,110407,21,17246,3744
0.5,580,207,79,51,3519,4,4785,2,29576,7,4776,1031
0.75,731,332,133,60,4720,6,6652,4,48966,13,7280,1474
1.75,1885,761,218,184,10967,13,14900,5,113240,28,16624,3742
0.5,444,177,88,57,3573,4,4743,6,30839,8,4746,1060
0.5,386,214,89,54,3103,4,4028,2,29456,8,4833,944
2,1570,768,264,230,13770,15,19662,2,122841,25,19371,4272
1.75,1493,732,249,156,10600,14,17325,4,107446,23,16554,3614
2,1715,766,319,223,14172,14,16043,2,124162,34,19115,4207
1.25,1344,495,157,152,8204,9,10032,3,74645,19,12297,2608
1.5,1469,559,181,161,9696,11,12077,4,87226,19,14829,2920
1,1079,353,149,100,6906,8,9578,4,63217,13,9223,1939
1.25,894,488,167,116,9041,10,11430,6,82377,18,11782,2525
1,1189,351,135,97,5920,8,8187,5,61486,16,9459,2155
2.5,2168,907,339,256,16225,18,23469,2,144860,44,24284,4835
2.5,2101,1015,318,216,16194,19,24249,6,151007,28,23181,4757
2,1967,760,311,202,11464,15,17811,5,116429,25,19696,4227
0.75,626,285,116,69,4247,6,6396,3,46949,12,7254,1416
1.25,902,525,209,146,7056,10,10213,2,79242,22,12202,2693
2.5,2988,888,358,226,14729,19,22101,2,162275,38,23003,5016
1.5,1094,562,246,179,9375,11,12535,5,84126,17,13973,3043
1.5,1478,673,253,134,10164,11,12331,2,98854,24,14432,3297
1.25,1321,499,164,101,7677,9,12475,3,71165,16,11813,2543
2,2395,853,331,248,11694,14,19258,4,130606,35,18457,4346
0.75,660,304,121,87,5104,5,6230,5,48193,11,7115,1449
2,2063,787,263,234,11421,15,16823,6,117768,29,18957,3893
1,810,430,143,89,6040,7,9670,5,65680,18,9594,2173
1.75,1912,657,282,154,10560,13,14416,4,103403,25,16251,3411
2.5,1944,964,424,305,15163,18,22773,4,145484,40,23002,5324
1,1028,439,142,81,6253,7,8801,6,59970,15,9277,2016
0.75,548,283,110,58,4951,5,6808,5,44915,11,7083,1434
2,1451,882,334,184,13843,15,19914,6,122168,31,19750,4221
2.5,2632,1090,395,286,17553,19,22732,2,151795,37,24639,5451
1.75,1707,735,235,219,12369,14,15503,5,114192,28,17088,3782
2,1896,769,359,238,11216,16,19359,5,114734,26,18802,4375
1,904,380,139,89,6745,8,9394,5,61742,12,9548,2152
1.25,1126,485,196,110,8066,9,12345,6,70034,19,12182,2651
1.5,1523,612,200,157,9775,11,12320,4,94357,19,14177,2841
1.25,1447,458,160,150,8211,9,12352,4,80973,16,11563,2655
1.75,1964,710,297,197,10395,12,17403,2,100375,31,16792,3578
2,1449,725,249,232,12742,15,16455,6,120230,35,19337,4116
2,1694,802,255,176,12393,15,19680,2,116249,24,19054,3852
2.5,2200,879,321,314,18138,19,21394,3,154057,40,23814,5053
3,2157,1312,518,316,19355,22,28682,3,169224,40,28233,6126
2.5,1936,1108,354,308,15469,19,21900,4,155776,28,23161,4704
0.75,777,316,93,64,4637,6,6359,6,42848,8,7319,1496
0.75,737,305,97,90,4501,5,6352,5,46242,9,6903,1495
1,1178,417,178,123,5829,8,8985,2,56471,13,9885,1905
3,2524,1219,495,269,19631,23,29696,2,177448,39,29580,6021
0.75,723,297,90,90,4205,6,7319,6,45628,9,7178,1601
1.5,1549,580,232,160,9785,11,14154,6,87651,21,13984,3228
2.5,2591,1021,303,235,15496,19,20363,2,164004,39,24307,5074
1.5,1148,587,243,158,9049,11,12418,2,89754,17,14534,2967
1.25,1249,528,157,144,8374,9,10091,6,74127,14,11729,2592
1.5,1412,549,208,142,10325,11,12088,2,90801,24,14816,2907
1.75,1885,624,313,191,10909,12,16630,2,112674,22,16312,3618
2.5,2457,1040,320,218,15113,20,20983,6,163569,44,23851,5151
1.25,1025,483,176,111,8198,10,10051,3,78164,15,12207,2665
1.5,1319,612,211,156,8667,12,13558,5,87996,19,14691,2997
2,1769,892,270,218,13374,16,17053,3,121228,26,19152,4048
3,3027,1238,400,229,17812,24,27570,2,177713,50,27612,6570
0.5,357,183,78,42,3156,4,4923,2,29978,7,4921,987
